datetime,F0,F1,F3,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F29,F30,F31,F32,F33,F34,F35,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,Y,S1,S2
2010-06-02 09:30:00,1.447,6.283,15.481,1.305,3.096,402.000,-17.714,-2.409,-8.335,27.887,-11.050,-9.118,3.121,1.596,4.477,-5.375,-9.545,-2.368,-50.247,-46.403,1.769,1.293,2.113,1.593,2.866,-15.732,-4.676,7.541,1.558,1.250,2.695,2.695,0.998,1.049,1.145,1.209,1.186,12.438,-12.160,-3.367,-18.478,6.373,1.304,1.040,1.278,1.218,2.418,1.905,0.948,0.963,0.956,0.951,0.862,0.932,0.932,0.932,2.457,-1.804,-6.958,-3.361,1.703,2.386,3.451,1.682,-5.490,-5.786,4.254,0.000,151.652,116.194
2010-06-02 10:00:00,1.443,6.277,11.591,1.301,2.318,6.455,8.422,-2.608,-7.950,11.766,-11.139,-8.651,7.162,2.403,-6.814,-0.426,2.048,-2.523,-46.417,-45.984,2.133,1.360,2.142,1.606,2.507,-16.385,-4.689,7.518,1.567,1.256,2.528,2.528,0.996,1.045,1.145,1.210,1.187,10.839,-11.333,-3.325,-16.539,6.440,0.950,1.070,1.225,1.193,2.419,1.911,0.948,0.952,0.953,0.934,0.862,0.931,0.931,0.928,-4.641,-0.565,5.243,-3.696,2.282,3.613,4.169,1.658,-4.052,-0.781,-1.759,0.000,151.438,116.429
2010-06-02 10:30:00,1.443,6.259,8.168,1.302,1.634,3.492,5.839,-2.678,-6.650,11.102,-11.276,-8.352,-41.620,4.063,-7.883,0.649,1.607,-2.617,-43.656,-44.877,1.960,1.397,2.161,1.619,2.162,-19.688,-4.694,7.419,1.572,1.259,2.442,2.442,0.993,1.041,1.146,1.211,1.188,7.408,-10.801,-3.305,-14.845,6.475,0.588,1.137,1.123,1.185,2.418,1.921,0.948,0.950,0.948,0.924,0.862,0.931,0.931,0.925,-8.200,0.467,4.257,-3.816,2.107,1.607,3.065,1.590,-5.423,-0.718,-1.474,0.000,151.933,116.735
2010-06-02 11:00:00,1.429,6.218,7.532,1.289,1.506,11.731,3.237,-2.654,-10.163,11.827,-11.493,-8.146,-5.840,9.703,-3.100,0.073,0.944,-2.523,-41.229,-43.821,1.878,1.442,2.178,1.633,1.956,-25.833,-4.727,7.407,1.576,1.263,2.325,2.325,0.990,1.039,1.146,1.212,1.189,8.255,-11.596,-3.297,-14.080,6.577,0.527,1.141,1.104,1.191,2.426,1.926,0.948,0.951,0.946,0.924,0.862,0.930,0.930,0.923,-1.849,0.254,3.100,-3.571,1.658,1.886,2.336,1.609,2.541,-1.291,-6.900,0.000,150.876,117.053
2010-06-02 11:30:00,1.432,6.224,7.562,1.292,1.512,-8.882,2.625,-2.680,-12.431,10.597,-11.769,-8.027,-4.112,-38.735,-5.243,-0.112,0.624,-2.528,-39.078,-43.471,1.908,1.564,2.197,1.646,1.962,-60.900,-4.798,7.216,1.584,1.267,2.076,2.076,0.987,1.035,1.145,1.214,1.190,24.095,-18.609,-3.286,-13.787,6.766,0.707,1.158,1.103,1.197,2.427,1.934,0.948,0.952,0.946,0.923,0.861,0.929,0.929,0.919,-3.794,-0.058,2.335,-3.395,2.874,1.721,1.965,1.650,3.871,-2.946,5.238,0.000,151.091,116.982
2010-06-02 12:00:00,1.432,6.218,7.166,1.291,1.433,-8.294,2.926,-2.834,-11.994,11.396,-12.020,-8.037,-4.511,-10.109,-10.438,-1.380,0.428,-2.655,-37.167,-42.500,2.037,1.666,2.211,1.657,2.036,45.846,-5.083,6.828,1.592,1.272,1.781,1.781,0.985,1.031,1.146,1.215,1.191,-31.824,-44.043,-3.303,-13.685,6.828,0.614,0.793,1.084,1.190,2.423,1.931,0.948,0.952,0.929,0.919,0.861,0.929,0.926,0.919,-7.765,-1.226,0.815,-4.082,1.938,2.471,2.184,1.927,-0.051,-4.611,3.097,0.000,150.876,116.841
2010-06-02 12:30:00,1.435,6.230,6.969,1.294,1.394,-10.731,3.963,-2.662,-11.113,12.365,-12.253,-8.124,-4.502,-5.113,-7.885,-2.136,0.788,-2.525,-35.456,-42.183,2.028,1.760,2.223,1.664,2.011,15.316,-5.442,6.404,1.600,1.277,1.488,1.488,0.985,1.027,1.145,1.216,1.192,-11.907,121.438,-3.316,-13.584,6.945,0.341,0.571,1.142,1.190,2.427,1.937,0.948,0.952,0.924,0.920,0.861,0.929,0.923,0.919,-5.736,-1.439,1.889,-3.701,1.874,2.274,1.936,1.760,0.744,-19.800,2.275,0.000,151.239,116.876
2010-06-02 13:00:00,1.432,6.224,6.627,1.291,1.325,-7.548,4.032,-2.898,-14.219,7.349,-12.477,-8.305,-2.790,-3.296,-3.698,3.834,0.754,-2.700,-33.908,-41.288,2.033,1.869,2.232,1.670,1.932,8.723,-5.933,6.038,1.608,1.282,1.206,1.206,0.987,1.023,1.145,1.218,1.193,-8.000,22.707,-3.353,-13.648,7.000,0.400,0.513,1.105,1.191,2.425,1.939,0.948,0.949,0.923,0.920,0.861,0.929,0.921,0.918,-2.361,4.332,1.558,-3.864,2.110,1.843,1.911,1.781,0.900,84.800,1.637,0.000,151.091,117.006
2010-06-02 13:30:00,1.433,6.224,6.397,1.292,1.279,-8.086,3.956,-3.122,-32.032,7.434,-12.739,-8.454,-2.131,-2.640,-2.532,14.139,0.734,-2.859,-32.508,-40.453,2.008,1.991,2.244,1.676,1.975,5.811,-6.564,5.611,1.613,1.286,1.017,1.017,0.989,1.019,1.145,1.218,1.194,-7.537,12.226,-3.383,-13.884,6.978,0.371,0.533,1.088,1.182,2.429,1.950,0.948,0.949,0.923,0.920,0.861,0.929,0.919,0.919,-1.620,7.164,1.535,-4.169,1.970,2.140,1.970,1.912,0.352,0.781,0.904,0.000,151.091,116.970
2010-06-02 14:00:00,1.433,6.230,6.651,1.292,1.330,-3.535,4.192,-3.803,-21.174,6.732,-12.969,-8.661,-1.839,-2.095,-2.427,-4.791,0.768,-3.374,-31.227,-40.184,2.045,2.089,2.259,1.682,1.925,4.180,-7.537,5.231,1.619,1.290,0.854,0.854,0.991,1.016,1.144,1.221,1.195,-7.409,8.578,-3.474,-14.512,6.879,0.792,0.575,1.137,1.176,2.438,1.957,0.948,0.947,0.920,0.920,0.861,0.929,0.919,0.919,-1.135,-3.577,1.154,-5.583,3.139,2.140,1.840,1.758,1.066,-6.506,2.932,0.000,151.239,117.018
