datetime,F0,F1,F3,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F29,F30,F31,F32,F33,F34,F35,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,Y,S1,S2
2010-06-02 09:30:00,1.789,1.341,1.019,2.898,1.019,-0.296,0.236,-0.072,-0.119,-0.214,-1.765,0.115,-0.047,-0.163,0.987,-1.310,1.287,-0.070,18.097,0.754,0.309,0.273,0.256,0.276,1.131,1.017,0.922,0.986,0.337,0.404,0.990,0.990,1.009,0.951,0.948,0.951,1.063,-0.401,0.104,-0.048,-0.117,-0.005,1.394,1.078,0.945,1.231,0.878,0.666,1.169,1.169,1.185,1.196,1.337,1.201,1.206,1.206,1.289,-0.637,0.873,0.645,0.347,0.344,0.339,0.342,0.750,0.689,0.937,0.000,207.727,71.682
2010-06-02 10:00:00,1.780,1.333,1.165,2.883,1.165,-0.396,0.239,0.052,-0.088,-0.167,-1.649,0.125,-0.064,-0.072,0.938,-0.047,1.170,0.156,26.061,0.759,0.419,0.265,0.255,0.277,1.140,1.048,0.933,0.986,0.337,0.403,1.089,1.089,1.009,0.955,0.946,0.951,1.061,-0.231,0.117,-0.039,-0.112,-0.010,0.863,0.950,0.946,1.241,0.877,0.663,1.169,1.172,1.187,1.205,1.337,1.203,1.206,1.208,0.635,0.061,1.006,1.740,0.568,0.257,0.263,0.283,0.687,0.593,0.336,0.000,207.568,71.986
2010-06-02 10:30:00,1.769,1.324,0.788,2.866,0.788,-0.117,0.278,0.064,0.002,-0.327,-1.536,0.132,-0.155,-0.029,1.176,-0.076,1.304,0.180,46.905,0.764,0.328,0.260,0.254,0.279,1.137,1.098,0.963,0.980,0.336,0.402,1.161,1.161,1.008,0.958,0.946,0.951,1.061,-0.228,0.127,-0.030,-0.105,-0.024,0.379,1.000,0.824,1.235,0.878,0.655,1.170,1.173,1.194,1.197,1.337,1.206,1.206,1.209,0.868,0.005,1.000,1.642,0.344,0.203,0.243,0.290,1.137,1.078,0.539,0.000,207.830,72.516
2010-06-02 11:00:00,1.771,1.327,0.699,2.868,0.699,-0.233,0.253,0.053,-0.030,-0.309,-1.427,0.137,-0.557,-0.037,0.851,0.287,1.145,0.164,267.273,0.769,0.287,0.254,0.254,0.280,1.115,1.150,0.994,0.975,0.334,0.401,1.226,1.226,1.007,0.962,0.944,0.950,1.060,-0.209,0.136,-0.024,-0.101,-0.040,0.216,1.077,0.792,1.249,0.877,0.651,1.170,1.173,1.195,1.196,1.337,1.206,1.206,1.203,0.525,0.270,0.955,1.229,0.320,0.194,0.234,0.266,2.583,-5.845,1.621,0.000,207.858,72.481
2010-06-02 11:30:00,1.772,1.326,0.738,2.870,0.738,-0.425,0.274,0.076,-0.026,-0.315,-1.327,0.145,-4.087,-0.118,1.046,0.824,1.217,0.197,-71.317,0.775,0.287,0.251,0.253,0.282,1.157,1.165,1.036,0.966,0.333,0.400,1.302,1.302,1.006,0.965,0.943,0.950,1.059,-0.233,0.146,-0.018,-0.094,-0.060,0.309,1.085,0.770,1.262,0.878,0.649,1.170,1.181,1.196,1.196,1.333,1.206,1.206,1.197,0.630,0.902,0.973,1.011,0.199,0.219,0.238,0.261,2.415,-398.000,1.244,0.000,208.082,72.505
2010-06-02 12:00:00,1.773,1.327,0.716,2.871,0.716,-0.762,0.249,0.045,-0.029,-0.306,-1.242,0.151,-2.299,-0.195,0.814,-2.634,1.149,0.138,-31.269,0.780,0.339,0.246,0.253,0.284,1.140,1.183,1.070,0.958,0.333,0.400,1.349,1.349,1.005,0.968,0.942,0.949,1.059,-0.315,0.155,-0.010,-0.086,-0.071,0.465,0.621,0.804,1.267,0.878,0.647,1.170,1.184,1.196,1.197,1.329,1.206,1.208,1.199,0.389,-4.200,0.803,0.944,0.330,0.239,0.270,0.299,1.789,9.735,1.426,0.000,207.858,72.391
2010-06-02 12:30:00,1.769,1.326,0.686,2.865,0.686,-0.429,0.249,0.045,-0.017,-0.321,-1.166,0.155,2.389,-0.613,1.578,-1.192,1.146,0.148,-19.801,0.785,0.351,0.243,0.252,0.284,1.120,1.202,1.122,0.947,0.333,0.399,1.383,1.383,1.002,0.970,0.942,0.949,1.058,-0.382,0.161,-0.005,-0.078,-0.083,0.250,0.343,0.803,1.256,0.877,0.648,1.170,1.184,1.196,1.195,1.329,1.206,1.209,1.199,1.167,-0.846,0.747,0.932,0.442,0.153,0.208,0.250,1.468,2.345,1.413,0.000,207.988,72.606
2010-06-02 13:00:00,1.765,1.324,0.685,2.860,0.685,-0.050,0.226,0.002,-0.040,-0.326,-1.098,0.159,0.303,0.843,3.101,-0.666,1.050,0.074,-14.447,0.791,0.353,0.242,0.252,0.285,1.093,1.222,1.182,0.933,0.332,0.399,1.424,1.424,1.000,0.972,0.940,0.948,1.057,-0.250,0.166,-0.000,-0.072,-0.095,0.312,0.292,0.752,1.243,0.875,0.650,1.170,1.187,1.195,1.195,1.329,1.206,1.203,1.196,3.087,-0.443,0.662,0.745,0.362,0.154,0.242,0.263,1.456,2.113,0.890,0.000,207.736,72.645
2010-06-02 13:30:00,1.771,1.327,0.679,2.868,0.679,0.095,0.233,0.018,-0.023,-0.335,-1.036,0.162,0.346,0.456,4.125,5.955,1.075,0.106,-11.341,0.796,0.354,0.240,0.252,0.284,1.126,1.239,1.243,0.914,0.332,0.399,1.457,1.457,0.999,0.975,0.939,0.948,1.057,-0.087,0.170,0.003,-0.066,-0.110,0.391,0.332,0.714,1.238,0.875,0.650,1.170,1.188,1.195,1.195,1.327,1.206,1.199,1.197,3.135,3.243,0.693,0.757,0.362,0.208,0.269,0.277,1.124,1.139,0.806,0.000,207.858,72.481
2010-06-02 14:00:00,1.773,1.327,0.669,2.871,0.669,-0.179,0.258,0.009,-0.064,-0.402,-0.983,0.165,0.477,0.388,15.379,0.059,1.259,0.090,-9.315,0.802,0.361,0.235,0.251,0.284,1.118,1.263,1.285,0.898,0.333,0.399,1.490,1.490,0.999,0.978,0.938,0.947,1.055,-0.049,0.175,0.008,-0.059,-0.128,0.297,0.398,0.681,1.245,0.878,0.650,1.170,1.195,1.195,1.197,1.307,1.206,1.199,1.199,18.158,0.993,0.644,0.621,0.338,0.191,0.276,0.307,1.372,1.899,1.846,0.000,207.736,72.356
