datetime,F0,F1,F3,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F29,F30,F31,F32,F33,F34,F35,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,Y,S1,S2
2010-06-02 09:30:00,1.975,5.330,2.028,2.892,0.406,-3.564,0.801,-0.224,-0.268,-0.796,-1.210,0.149,-0.062,-0.232,2.889,-5.769,1.568,-0.107,-5.809,2.095,0.408,0.378,0.350,0.368,0.924,1.231,1.289,1.159,1.340,1.002,1.002,1.006,0.965,0.954,0.937,1.036,-0.428,0.147,-0.069,-0.115,-0.006,1.223,1.036,1.158,1.286,1.062,0.885,3.011,3.011,3.033,3.051,3.302,3.066,3.077,3.077,13.889,8.465,1.225,0.582,0.360,0.593,0.531,0.393,1.381,1.484,2.878,0.000,207.727,71.820
2010-06-02 10:00:00,1.973,5.322,2.133,2.888,0.427,-1.113,0.808,0.140,-0.198,-0.597,-1.162,0.160,-0.091,-0.106,2.516,-0.028,1.354,0.188,-5.606,2.114,0.573,0.369,0.350,0.368,0.949,1.238,1.289,1.158,1.338,1.091,1.091,1.007,0.967,0.953,0.937,1.036,-0.384,0.165,-0.055,-0.110,-0.013,0.971,0.918,1.176,1.290,1.060,0.887,3.011,3.011,3.033,3.072,3.302,3.069,3.077,3.078,1.957,0.040,1.092,1.318,0.544,0.378,0.400,0.334,0.610,0.627,0.639,0.000,207.568,71.870
2010-06-02 10:30:00,1.973,5.330,2.003,2.889,0.401,-0.300,0.950,0.171,0.004,-1.220,-1.112,0.170,-0.199,-0.040,4.528,-0.164,1.513,0.213,-5.422,2.131,0.486,0.360,0.350,0.369,0.986,1.243,1.280,1.153,1.334,1.185,1.185,1.006,0.970,0.953,0.936,1.035,-0.306,0.180,-0.041,-0.102,-0.031,0.641,0.947,1.165,1.287,1.067,0.883,3.013,3.022,3.040,3.074,3.302,3.077,3.077,3.075,4.680,0.008,1.075,1.302,0.498,0.310,0.385,0.352,0.946,1.062,1.095,0.000,207.830,71.939
2010-06-02 11:00:00,1.963,5.330,1.408,2.874,0.282,-1.200,0.829,0.133,-0.068,-1.127,-1.061,0.178,-0.392,-0.044,1.915,0.192,1.240,0.183,-5.250,2.149,0.417,0.353,0.350,0.370,1.014,1.248,1.272,1.149,1.331,1.256,1.256,1.006,0.973,0.951,0.936,1.035,-0.241,0.192,-0.032,-0.097,-0.053,0.287,0.923,1.105,1.291,1.068,0.879,3.013,3.026,3.053,3.058,3.302,3.077,3.077,3.073,1.444,0.336,1.036,1.044,0.423,0.371,0.390,0.352,0.912,1.554,1.494,0.000,207.858,72.317
2010-06-02 11:30:00,1.967,5.339,1.355,2.879,0.271,-2.375,0.893,0.206,-0.061,-1.183,-1.011,0.187,-1.205,-0.133,4.098,0.214,1.308,0.241,-5.076,2.167,0.404,0.351,0.351,0.371,1.021,1.253,1.255,1.145,1.329,1.318,1.318,1.006,0.976,0.951,0.935,1.034,-0.351,0.205,-0.023,-0.090,-0.079,0.179,0.991,1.057,1.298,1.069,0.879,3.013,3.031,3.057,3.058,3.295,3.077,3.077,3.073,4.500,0.162,1.065,0.914,0.323,0.441,0.366,0.366,0.856,1.826,0.888,0.000,208.082,72.267
2010-06-02 12:00:00,1.962,5.330,1.331,2.872,0.266,-3.080,0.796,0.124,-0.063,-1.130,-0.966,0.195,12.833,-0.231,4.247,-0.823,1.210,0.173,-4.920,2.185,0.420,0.347,0.352,0.372,1.028,1.257,1.244,1.143,1.326,1.363,1.363,1.004,0.978,0.950,0.935,1.033,-0.530,0.216,-0.013,-0.082,-0.096,0.377,0.717,1.045,1.299,1.069,0.879,3.013,3.031,3.055,3.055,3.280,3.077,3.078,3.060,-14.500,-0.943,0.862,0.947,0.535,0.451,0.386,0.400,0.730,0.957,0.701,0.000,207.858,72.376
2010-06-02 12:30:00,1.964,5.339,1.205,2.875,0.241,-1.111,0.843,0.123,-0.043,-1.293,-0.924,0.201,0.506,-0.744,23.818,-1.208,1.304,0.184,-4.763,2.205,0.416,0.345,0.352,0.373,1.037,1.265,1.219,1.140,1.324,1.405,1.405,1.002,0.980,0.951,0.934,1.033,-0.505,0.224,-0.006,-0.074,-0.114,0.250,0.404,1.000,1.302,1.068,0.876,3.013,3.032,3.051,3.050,3.280,3.077,3.075,3.060,-3.360,-0.829,0.775,0.889,0.400,0.248,0.308,0.352,1.342,1.914,1.366,0.000,207.988,72.336
2010-06-02 13:00:00,1.961,5.330,1.234,2.871,0.247,-0.333,0.773,0.006,-0.106,-1.292,-0.887,0.206,0.280,1.940,7.926,-4.945,1.212,0.097,-4.615,2.224,0.419,0.344,0.353,0.372,1.043,1.277,1.196,1.138,1.322,1.441,1.441,1.001,0.981,0.950,0.934,1.031,-0.337,0.230,-0.000,-0.069,-0.131,0.328,0.350,0.950,1.296,1.067,0.876,3.013,3.035,3.051,3.051,3.280,3.077,3.073,3.052,-3.838,-100.000,0.691,0.754,0.442,0.237,0.342,0.363,1.328,1.866,0.683,0.000,207.736,72.346
2010-06-02 13:30:00,1.966,5.330,1.205,2.879,0.241,0.286,0.813,0.049,-0.062,-1.335,-0.851,0.209,0.392,0.598,4.082,1.909,1.283,0.133,-4.480,2.243,0.417,0.344,0.353,0.372,1.046,1.273,1.157,1.136,1.320,1.464,1.464,0.999,0.982,0.950,0.933,1.030,-0.153,0.235,0.004,-0.063,-0.153,0.514,0.284,0.890,1.294,1.071,0.876,3.013,3.035,3.051,3.053,3.272,3.077,3.072,3.057,8.206,2.807,0.762,0.756,0.434,0.286,0.363,0.379,1.038,1.365,0.970,0.000,207.858,72.207
2010-06-02 14:00:00,1.965,5.330,1.204,2.878,0.241,-0.333,0.835,0.023,-0.185,-1.560,-0.819,0.214,0.480,0.372,13.118,0.100,1.364,0.113,-4.344,2.262,0.436,0.339,0.354,0.373,1.056,1.276,1.124,1.135,1.319,1.521,1.521,0.999,0.984,0.948,0.933,1.030,-0.059,0.241,0.010,-0.058,-0.180,0.344,0.386,0.884,1.297,1.078,0.876,3.013,3.051,3.051,3.056,3.262,3.077,3.060,3.060,-10.147,2.434,0.693,0.648,0.398,0.259,0.373,0.422,1.263,1.604,1.331,0.000,207.736,72.187
2010-06-02 14:30:00,1.968,5.330,1.168,2.881,0.234,5.500,0.857,0.093,-0.097,-1.720,-0.791,0.220,0.324,0.209,-0.707,4.023,1.467,0.181,-4.215,2.283,0.424,0.331,0.354,0.372,1.058,1.273,1.084,1.136,1.319,1.551,1.551,0.998,0.985,0.948,0.933,1.029,-0.286,0.250,0.018,-0.048,-0.212,0.351,0.343,0.922,1.303,1.084,0.877,3.013,3.051,3.051,3.061,3.262,3.077,3.063,3.063,-0.652,1.295,0.670,0.760,0.580,0.214,0.290,0.381,1.692,2.103,2.442,0.000,207.671,72.088
2010-06-02 15:00:00,1.963,5.330,1.069,2.874,0.214,0.700,0.790,0.155,-0.063,-1.762,-0.763,0.225,-0.154,0.105,-0.789,-2.991,1.325,0.227,-4.098,2.304,0.412,0.327,0.355,0.372,1.043,1.243,1.029,1.138,1.318,1.550,1.550,0.998,0.986,0.948,0.932,1.028,-2.923,0.255,0.024,-0.037,-0.242,0.335,0.372,0.736,1.303,1.083,0.877,3.013,3.051,3.051,3.057,3.262,3.077,3.067,3.067,-0.685,2.876,0.601,0.916,0.362,0.231,0.291,0.403,1.109,3.057,1.721,0.000,207.633,72.247
2010-06-02 15:30:00,1.951,5.293,0.837,2.855,0.167,0.684,0.777,0.464,0.024,-1.862,-0.737,0.226,-0.052,-0.023,-2.297,0.431,1.234,0.439,-3.979,2.325,0.516,0.324,0.353,0.371,1.019,1.202,1.016,1.136,1.317,1.484,1.484,0.999,0.987,0.947,0.933,1.028,0.411,0.259,0.041,-0.024,-0.277,0.634,0.740,0.305,1.289,1.074,0.870,3.013,3.035,3.035,3.035,3.262,3.077,3.067,3.067,-1.610,0.834,0.671,1.199,0.374,0.263,0.244,0.413,1.051,1.859,1.195,0.000,208.082,72.873
2010-06-03 09:30:00,1.944,5.274,1.452,2.846,0.290,0.847,1.117,0.717,-0.010,-1.135,-0.722,0.226,0.154,0.043,15.803,1.038,1.676,0.561,-3.922,2.335,0.457,0.319,0.349,0.370,1.019,1.201,1.013,1.135,1.316,1.439,1.439,0.999,0.987,0.946,0.932,1.027,0.261,0.262,0.054,-0.020,-0.285,0.913,0.852,0.331,1.280,1.074,0.870,3.025,3.025,3.025,3.025,3.226,3.075,3.067,3.058,-5.180,1.084,0.834,0.963,0.483,0.505,0.441,0.381,1.079,1.101,3.000,0.000,209.016,73.439
2010-06-03 10:00:00,1.936,5.256,1.266,2.835,0.253,0.574,1.149,0.587,-0.114,-1.436,-0.694,0.227,0.260,0.183,-2.673,0.709,1.820,0.472,-3.811,2.356,0.493,0.307,0.346,0.369,1.030,1.196,1.010,1.135,1.315,1.359,1.359,0.998,0.986,0.946,0.931,1.027,0.248,0.270,0.071,-0.017,-0.293,1.035,0.980,0.322,1.272,1.072,0.863,3.024,3.024,3.024,3.024,3.215,3.073,3.067,3.050,-1.726,1.030,0.874,0.871,0.665,0.254,0.369,0.329,1.007,0.594,0.462,0.000,208.474,73.548
2010-06-03 10:30:00,1.927,5.212,0.921,2.821,0.184,0.350,1.044,0.532,-0.062,-1.093,-0.666,0.224,0.198,0.172,-1.966,-4.791,1.554,0.423,-3.704,2.378,0.485,0.298,0.344,0.369,1.054,1.180,1.003,1.132,1.312,1.289,1.289,0.997,0.986,0.946,0.931,1.026,0.180,0.275,0.084,-0.018,-0.303,0.986,1.011,0.287,1.230,1.070,0.860,3.009,3.009,3.009,3.009,3.214,3.070,3.067,3.015,-0.155,-4.491,0.866,0.843,0.466,0.228,0.349,0.337,1.418,0.889,0.894,0.000,208.474,73.895
2010-06-03 11:00:00,1.927,5.203,0.893,2.821,0.179,0.276,1.036,0.485,-0.110,-1.260,-0.641,0.221,0.098,0.158,-2.768,13.896,1.558,0.390,-3.602,2.400,0.496,0.293,0.341,0.367,1.092,1.165,0.997,1.128,1.309,1.240,1.240,0.995,0.984,0.945,0.930,1.025,0.098,0.280,0.095,-0.019,-0.302,0.617,0.964,0.305,1.211,1.068,0.858,3.009,3.009,3.009,2.997,3.218,3.067,3.067,3.007,-0.553,-50.308,0.853,0.860,0.468,0.303,0.385,0.346,1.416,1.197,1.302,0.000,208.250,73.826
