datetime,F0,F1,F3,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F29,F30,F31,F32,F33,F34,F35,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,Y,S1,S2
2010-06-02 09:30:00,1.763,1.095,0.611,3.088,0.611,1.904,0.573,-0.124,-1.639,-0.371,1.401,0.181,-0.430,1.248,0.336,-0.701,1.146,-0.152,1.362,0.919,0.454,0.401,0.361,0.358,1.024,1.139,1.287,1.684,2.203,0.612,0.655,0.946,0.946,1.000,0.969,0.984,1.000,1.057,0.360,0.191,-0.078,-1.188,-0.006,1.107,1.103,0.969,1.637,1.049,0.639,1.578,1.578,1.578,1.579,1.678,1.587,1.593,1.593,0.417,-0.601,0.725,0.790,0.365,0.688,0.548,0.448,0.677,0.736,4.000,0.000,207.727,67.268
2010-06-02 10:00:00,1.751,1.085,0.545,3.067,0.545,-11.133,0.497,0.078,-1.381,-0.275,1.433,0.191,-0.348,-12.200,0.466,-0.128,0.978,0.267,1.371,0.921,0.518,0.399,0.363,0.361,1.001,1.021,1.342,1.699,2.189,0.615,0.656,0.961,0.961,1.001,0.970,0.983,1.000,1.057,2.000,0.214,-0.060,-1.132,-0.013,0.702,0.970,0.925,1.649,1.043,0.637,1.578,1.578,1.580,1.588,1.678,1.589,1.593,1.596,0.341,0.084,0.781,1.821,0.531,0.509,0.488,0.382,0.698,1.185,29.800,0.000,207.568,67.674
2010-06-02 10:30:00,1.743,1.081,0.372,3.053,0.372,1.182,0.541,0.099,0.025,-0.537,1.471,0.197,1.923,-0.649,0.583,-0.077,1.033,0.319,1.380,0.923,0.424,0.397,0.364,0.364,0.995,1.000,1.379,1.657,2.116,0.615,0.656,0.967,0.967,1.000,0.971,0.983,1.000,1.055,4.333,0.232,-0.045,-1.094,-0.029,0.208,0.878,0.801,1.614,1.044,0.630,1.578,1.578,1.581,1.581,1.678,1.593,1.593,1.590,0.491,0.006,0.798,1.793,0.460,0.333,0.390,0.370,1.100,1.468,6.900,0.000,207.830,68.084
2010-06-02 11:00:00,1.746,1.083,0.349,3.058,0.349,1.406,0.515,0.088,-0.558,-0.518,1.515,0.201,0.599,-3.714,0.506,0.522,0.980,0.329,1.389,0.925,0.379,0.392,0.364,0.367,0.991,0.997,1.425,1.591,2.035,0.615,0.656,0.971,0.971,1.000,0.972,0.981,0.999,1.055,0.984,0.247,-0.035,-1.031,-0.049,0.141,0.805,0.770,1.617,1.049,0.628,1.578,1.578,1.581,1.581,1.678,1.593,1.593,1.586,0.355,0.344,0.800,1.423,0.452,0.390,0.425,0.394,1.099,1.150,1.198,0.000,207.858,67.973
2010-06-02 11:30:00,1.749,1.085,0.364,3.063,0.364,0.983,0.553,0.135,-0.460,-0.539,1.565,0.208,0.679,21.333,0.596,-0.481,1.035,0.427,1.399,0.927,0.374,0.391,0.365,0.369,1.036,1.046,1.373,1.542,1.933,0.616,0.656,0.976,0.976,1.001,0.973,0.981,0.999,1.055,0.823,0.258,-0.025,-0.952,-0.073,0.236,0.793,0.730,1.627,1.052,0.626,1.578,1.578,1.581,1.581,1.677,1.593,1.593,1.584,0.455,-0.427,0.826,1.216,0.302,0.436,0.357,0.378,1.054,3.586,3.500,0.000,208.082,67.930
2010-06-02 12:00:00,1.750,1.085,0.365,3.065,0.365,0.856,0.516,0.081,-0.567,-0.567,1.617,0.212,1.770,-1.857,0.366,0.579,0.984,0.297,1.409,0.929,0.391,0.389,0.365,0.372,1.024,1.039,1.321,1.479,1.829,0.616,0.656,0.979,0.979,1.001,0.974,0.980,0.999,1.054,0.769,0.268,-0.014,-0.857,-0.086,0.370,0.504,0.715,1.626,1.052,0.625,1.578,1.578,1.581,1.584,1.677,1.593,1.596,1.587,0.213,0.333,0.692,1.243,0.373,0.459,0.399,0.396,0.889,1.226,30.143,0.000,207.858,67.819
2010-06-02 12:30:00,1.749,1.085,0.363,3.064,0.363,1.842,0.528,0.080,-0.561,-0.616,1.675,0.216,3.440,1.582,0.337,1.921,1.005,0.314,1.419,0.931,0.413,0.388,0.365,0.373,1.025,1.039,1.290,1.504,1.730,0.616,0.656,0.982,0.982,1.000,0.975,0.979,0.998,1.054,0.714,0.275,-0.006,-0.800,-0.102,0.276,0.249,0.696,1.628,1.050,0.623,1.578,1.578,1.581,1.584,1.677,1.593,1.590,1.587,0.277,6.714,0.627,1.191,0.397,0.231,0.298,0.336,1.610,4.607,1.976,0.000,207.988,67.891
2010-06-02 13:00:00,1.746,1.083,0.365,3.057,0.365,-0.186,0.485,0.004,-1.033,-0.621,1.737,0.220,0.464,0.642,0.312,-1.247,0.936,0.174,1.430,0.934,0.427,0.387,0.364,0.374,0.982,0.990,1.281,1.583,1.647,0.616,0.656,0.988,0.988,0.999,0.976,0.978,0.998,1.054,1.765,0.280,-0.000,-0.786,-0.117,0.299,0.222,0.678,1.624,1.048,0.622,1.578,1.581,1.581,1.582,1.677,1.593,1.586,1.586,0.300,-0.529,0.578,1.065,0.511,0.231,0.332,0.349,3.937,7.916,-4.623,0.000,207.736,67.944
2010-06-02 13:30:00,1.748,1.083,0.356,3.061,0.356,-2.500,0.494,0.033,-0.175,-0.665,1.807,0.221,0.440,0.649,0.502,-6.879,0.948,0.243,1.442,0.935,0.428,0.388,0.364,0.375,1.008,1.020,1.270,1.658,1.554,0.617,0.656,0.987,0.987,0.999,0.977,0.978,0.998,1.054,-2.200,0.285,0.005,-0.727,-0.137,0.277,0.292,0.612,1.615,1.049,0.621,1.578,1.581,1.581,1.582,1.677,1.593,1.587,1.584,0.521,-6.423,0.600,1.072,0.550,0.285,0.351,0.356,1.415,2.020,1.266,0.000,207.858,67.906
2010-06-02 14:00:00,1.749,1.085,0.352,3.063,0.352,0.135,0.511,0.015,-0.480,-0.817,1.880,0.224,0.689,0.709,0.609,0.066,0.986,0.186,1.454,0.938,0.428,0.382,0.363,0.376,0.998,1.011,1.294,1.748,1.480,0.618,0.656,0.997,0.997,1.000,0.979,0.978,0.997,1.053,-0.455,0.291,0.011,-0.600,-0.162,0.204,0.355,0.557,1.611,1.053,0.621,1.578,1.581,1.583,1.582,1.677,1.593,1.587,1.587,0.591,0.676,0.567,0.831,0.353,0.255,0.351,0.400,1.792,4.384,4.598,0.000,207.736,67.819
