datetime,F0,F1,F3,F5,F6,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F29,F30,F31,F32,F33,F34,F35,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,Y,S1,S2
2010-06-02 09:30:00,0.329,0.749,0.748,0.330,0.374,0.184,-1.295,-0.340,1.178,-125.824,0.689,0.622,0.168,9.143,0.853,-0.755,1.651,-5.973,0.786,0.851,0.567,0.507,0.573,0.836,0.497,0.612,8.600,0.273,0.275,0.855,0.855,1.003,0.988,1.050,1.118,1.129,3.286,0.793,-15.909,-2.089,2.059,1.122,0.975,0.900,1.014,0.734,1.214,0.417,0.413,0.415,0.415,0.431,0.417,0.417,0.417,6.888,1.121,-0.500,1.334,1.029,0.353,0.430,0.551,-1.991,-2.771,-5.974,0.000,33.888,102.636
2010-06-02 10:00:00,0.330,0.750,1.211,0.332,0.605,0.365,-7.692,-0.401,1.104,-168.221,0.719,0.366,0.225,-0.207,-0.819,0.236,1.589,-5.856,0.789,0.923,0.561,0.504,0.572,0.967,0.498,0.633,8.958,0.273,0.275,0.957,0.957,1.004,0.989,1.049,1.118,1.129,-0.140,0.822,-37.800,-1.882,2.123,0.633,0.934,0.862,1.012,0.730,1.199,0.417,0.413,0.416,0.417,0.431,0.418,0.418,0.418,-8.463,-0.665,0.303,1.439,0.770,0.430,0.428,0.507,-0.336,-0.414,-1.662,0.000,34.079,102.800
2010-06-02 10:30:00,0.329,0.747,1.146,0.330,0.573,0.242,14.571,-0.399,1.123,-368.806,0.745,0.117,0.308,0.253,0.800,-0.033,1.700,-5.774,0.791,0.846,0.557,0.497,0.572,0.918,0.507,0.672,11.316,0.272,0.274,1.049,1.049,1.003,0.991,1.050,1.117,1.130,0.017,0.839,-206.000,-1.733,2.182,0.404,0.869,0.809,1.003,0.726,1.187,0.417,0.413,0.415,0.419,0.431,0.418,0.418,0.419,10.552,1.138,0.024,2.393,0.707,0.603,0.516,0.586,0.969,-0.152,-1.963,0.000,34.079,103.155
2010-06-02 11:00:00,0.330,0.747,1.337,0.331,0.669,0.275,-12.375,-0.530,1.041,571.600,0.776,-0.091,0.327,1.702,0.539,0.266,1.658,-5.694,0.794,0.850,0.555,0.491,0.571,0.951,0.498,0.715,18.250,0.271,0.274,1.151,1.151,1.003,0.992,1.049,1.117,1.131,0.008,0.856,74.333,-1.638,2.245,0.463,0.871,0.819,1.011,0.726,1.180,0.417,0.414,0.415,0.419,0.431,0.418,0.418,0.418,2.643,0.622,0.235,2.037,0.673,0.623,0.468,0.583,-0.504,-0.493,-0.415,0.000,34.169,103.155
2010-06-02 11:30:00,0.331,0.754,1.937,0.332,0.968,0.318,-3.265,-0.530,1.192,144.861,0.799,-0.636,0.188,5.142,4.939,0.340,1.280,-5.623,0.796,0.811,0.556,0.488,0.571,1.023,0.534,0.769,44.600,0.271,0.273,1.239,1.239,1.003,0.993,1.048,1.117,1.131,-0.013,0.849,39.167,-1.561,2.307,2.302,0.997,0.824,1.009,0.730,1.180,0.417,0.415,0.417,0.420,0.432,0.418,0.418,0.419,12.174,7.188,0.239,1.280,0.887,0.771,0.524,0.626,1.000,-3.654,-2.058,0.000,34.219,103.016
2010-06-02 12:00:00,0.330,0.751,1.749,0.332,0.874,0.344,4.111,-0.500,1.190,86.780,0.830,-1.145,-0.012,3.109,1.092,0.438,1.697,-5.547,0.799,0.777,0.559,0.485,0.571,1.016,0.613,0.835,-77.333,0.271,0.273,1.344,1.344,1.004,0.995,1.047,1.117,1.131,-0.126,0.838,19.231,-1.506,2.377,0.977,0.731,0.772,0.994,0.742,1.175,0.417,0.415,0.418,0.420,0.432,0.418,0.418,0.419,8.721,1.098,0.329,2.426,1.045,0.885,0.492,0.531,1.424,2.620,-7.525,1.000,34.239,103.155
2010-06-02 12:30:00,0.331,0.750,1.550,0.333,0.775,0.332,-16.000,-0.451,1.445,62.639,0.868,-1.067,-0.357,7.309,-4.581,0.373,1.421,-5.472,0.801,0.772,0.562,0.481,0.570,1.013,0.708,0.909,-18.692,0.271,0.273,1.468,1.468,1.005,0.997,1.046,1.117,1.132,-0.265,0.824,20.231,-1.444,2.489,0.293,0.648,0.672,0.994,0.734,1.169,0.417,0.417,0.420,0.420,0.432,0.418,0.419,0.420,-73.333,11.259,0.285,1.653,0.651,0.985,0.488,0.550,1.512,1.868,-6.310,1.000,34.199,102.851
2010-06-02 13:00:00,0.331,0.750,1.495,0.333,0.748,0.278,-128.000,-0.424,1.454,47.792,0.899,-0.848,-0.833,4.931,1.065,0.320,1.125,-5.400,0.804,0.780,0.570,0.475,0.570,1.014,0.815,1.008,-10.667,0.271,0.274,1.585,1.585,1.004,0.997,1.045,1.117,1.132,-0.365,0.796,17.688,-1.392,2.604,0.272,0.622,0.654,1.019,0.731,1.165,0.417,0.417,0.420,0.420,0.432,0.418,0.419,0.420,42.600,0.730,0.269,1.468,0.638,0.683,0.385,0.552,1.498,2.072,-1.837,1.000,34.199,102.762
2010-06-02 13:30:00,0.331,0.750,1.477,0.333,0.739,0.289,-20.167,-0.478,1.496,38.007,0.928,-0.659,-1.141,2.977,-0.581,0.345,1.251,-5.367,0.806,0.770,0.579,0.469,0.570,1.039,0.922,1.108,-7.528,0.272,0.274,1.702,1.702,1.004,0.998,1.045,1.117,1.132,-0.355,0.762,17.588,-1.341,2.739,0.389,0.719,0.626,1.030,0.731,1.143,0.417,0.417,0.420,0.420,0.432,0.418,0.421,0.422,4.197,-0.434,0.276,1.540,0.660,0.658,0.380,0.539,1.456,1.885,-2.133,1.000,34.199,102.813
2010-06-02 14:00:00,0.331,0.750,1.489,0.332,0.745,0.286,6.722,-0.412,1.493,31.806,0.952,-0.453,-1.369,7.913,-1.345,0.258,1.411,-5.298,0.809,0.759,0.585,0.465,0.569,1.008,0.992,1.185,-5.816,0.272,0.274,1.803,1.803,1.004,1.000,1.045,1.117,1.132,-0.129,0.740,14.182,-1.294,2.852,0.581,0.670,0.617,1.021,0.730,1.140,0.417,0.417,0.420,0.421,0.433,0.418,0.421,0.421,21.775,-0.840,0.277,2.430,0.826,0.647,0.530,0.570,0.971,0.449,1.210,1.000,34.149,102.762
