datetime,F0,F1,F3,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F29,F30,F31,F32,F33,F34,F35,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,Y,S1,S2
2010-06-02 09:30:00,1.316,0.316,0.686,1.099,3.430,-0.061,0.702,-1.995,9.533,-1.124,-0.912,0.068,0.167,0.058,-0.713,0.569,1.202,0.978,-3.474,-1.343,0.368,0.451,0.458,0.630,-0.152,-1.217,-1.651,1.248,1.513,0.675,0.675,1.013,0.971,0.967,0.892,0.795,0.113,0.010,-0.644,-1.741,-0.111,1.454,1.198,0.840,0.924,0.845,1.068,2.486,2.476,2.536,2.562,2.709,2.578,2.578,2.578,-0.138,0.658,1.183,0.562,0.557,0.213,0.268,0.454,-10.192,2.000,1.809,0.000,73.868,67.198
2010-06-02 10:00:00,1.319,0.316,0.471,1.101,2.355,0.219,0.892,-1.876,12.648,-0.967,-0.904,0.074,0.123,0.089,-1.362,7.962,1.021,1.091,-3.465,-1.346,0.553,0.432,0.453,0.624,-0.171,-1.203,-1.671,1.231,1.500,0.773,0.773,1.013,0.976,0.967,0.893,0.795,0.048,0.004,-0.629,-2.180,-0.123,0.922,1.257,0.851,0.919,0.844,1.054,2.486,2.481,2.543,2.586,2.709,2.593,2.593,2.598,-0.450,2.797,1.097,1.088,0.531,0.136,0.239,0.483,2.464,-0.718,33.143,0.000,73.909,67.101
2010-06-02 10:30:00,1.320,0.321,0.573,1.102,2.866,0.177,0.894,-1.915,18.899,-1.015,-0.892,0.080,0.040,0.098,-1.211,0.554,1.028,0.870,-3.454,-1.350,0.535,0.417,0.448,0.617,-0.163,-1.188,-1.699,1.214,1.488,0.853,0.853,1.013,0.980,0.966,0.893,0.795,0.045,0.002,-0.620,-2.798,-0.135,0.724,1.335,0.840,0.920,0.844,1.052,2.486,2.482,2.542,2.604,2.709,2.593,2.593,2.609,-0.674,0.849,1.055,0.933,0.379,0.200,0.311,0.512,1.019,-0.418,-3.392,1.000,73.975,67.120
2010-06-02 11:00:00,1.319,0.316,0.603,1.102,3.013,0.188,0.810,-2.168,-623.500,-0.989,-0.879,0.084,0.017,0.094,-1.547,0.103,0.869,0.946,-3.443,-1.354,0.540,0.403,0.442,0.611,-0.114,-1.168,-1.808,1.199,1.476,0.911,0.911,1.013,0.984,0.966,0.893,0.796,0.064,0.007,-0.611,-3.575,-0.148,1.568,1.360,0.819,0.923,0.846,1.050,2.486,2.483,2.542,2.604,2.709,2.593,2.593,2.606,-0.822,0.070,0.758,1.054,0.558,0.193,0.329,0.530,1.112,1.174,1.810,1.000,73.897,67.081
2010-06-02 11:30:00,1.320,0.316,0.601,1.102,3.006,0.029,1.008,-2.276,-71.353,-0.979,-0.864,0.094,0.033,0.106,-1.109,-0.064,0.997,0.888,-3.437,-1.356,0.515,0.379,0.438,0.605,-0.050,-1.133,-1.931,1.184,1.464,1.002,1.002,1.013,0.988,0.966,0.893,0.796,0.056,0.043,-0.613,-4.710,-0.160,1.138,1.273,0.806,0.914,0.849,1.049,2.486,2.499,2.562,2.604,2.709,2.593,2.593,2.606,-0.447,-0.352,0.755,1.060,0.487,0.279,0.447,0.603,-0.144,-3.500,1.722,1.000,73.926,67.081
2010-06-02 12:00:00,1.313,0.314,0.512,1.096,2.562,0.151,0.744,-1.545,-43.893,-0.967,-0.850,0.103,0.080,0.095,-0.355,-0.086,0.822,1.036,-3.426,-1.360,0.515,0.362,0.436,0.601,0.013,-1.099,-2.076,1.174,1.456,1.061,1.061,1.011,0.992,0.966,0.893,0.796,0.041,0.075,-0.602,-6.167,-0.170,0.375,0.877,0.861,0.908,0.849,1.045,2.486,2.518,2.590,2.589,2.709,2.593,2.598,2.601,0.272,-0.062,0.770,1.946,0.588,0.275,0.451,0.623,-0.011,-2.926,1.684,1.000,73.848,67.363
2010-06-02 12:30:00,1.317,0.316,0.556,1.100,2.779,0.215,0.821,-1.659,33.838,-1.057,-0.837,0.111,0.123,0.048,-0.184,-0.152,0.904,0.960,-3.420,-1.363,0.510,0.347,0.435,0.598,0.088,-1.061,-2.288,1.167,1.450,1.094,1.094,1.010,0.995,0.965,0.893,0.796,0.056,0.109,-0.593,-8.361,-0.183,0.582,0.705,0.890,0.895,0.846,1.050,2.486,2.532,2.593,2.589,2.709,2.593,2.609,2.599,0.179,-0.192,0.850,1.397,0.523,0.332,0.550,0.712,-0.014,-0.864,4.500,1.000,73.872,67.179
2010-06-02 13:00:00,1.315,0.314,0.554,1.098,2.772,0.298,0.873,-1.267,-141.778,-0.951,-0.823,0.118,0.016,0.019,-0.543,1.031,0.931,1.405,-3.413,-1.366,0.497,0.328,0.434,0.596,0.155,-1.030,-2.588,1.163,1.446,1.103,1.103,1.007,0.997,0.965,0.893,0.796,0.076,0.146,-0.579,-10.964,-0.193,0.983,0.768,0.994,0.897,0.847,1.050,2.486,2.544,2.589,2.587,2.709,2.593,2.604,2.596,0.014,1.325,0.902,-2.333,0.348,0.306,0.542,0.700,0.015,-0.735,10.242,1.000,73.950,67.363
2010-06-02 13:30:00,1.315,0.316,0.550,1.098,2.752,0.286,0.817,-1.400,-26.400,-1.081,-0.809,0.124,-0.162,0.002,-0.844,0.427,0.857,1.552,-3.402,-1.370,0.500,0.308,0.434,0.594,0.223,-0.988,-2.977,1.160,1.443,1.089,1.089,1.005,0.999,0.964,0.893,0.796,0.107,0.182,-0.564,-14.857,-0.204,0.603,0.610,1.030,0.895,0.845,1.050,2.486,2.543,2.587,2.587,2.710,2.593,2.604,2.597,-0.255,1.002,0.862,-3.067,0.533,0.308,0.498,0.654,0.919,0.482,-0.319,1.000,73.913,67.324
2010-06-02 14:00:00,1.322,0.318,0.551,1.104,2.754,0.298,0.791,-1.148,28.196,-1.085,-0.797,0.129,0.086,-0.015,-0.311,0.966,0.932,1.333,-3.394,-1.373,0.506,0.291,0.433,0.593,0.295,-0.944,-3.647,1.156,1.439,1.053,1.053,1.003,1.002,0.964,0.892,0.796,0.148,0.211,-0.546,-22.429,-0.215,0.635,0.587,1.012,0.894,0.847,1.046,2.486,2.542,2.587,2.594,2.710,2.593,2.603,2.603,-0.050,1.201,0.954,-0.468,0.449,0.288,0.532,0.627,1.025,-0.121,-0.465,1.000,73.815,66.887
