datetime,F41,F40,F43,F42,F45,F44,F47,F46,F49,F48,S1,F68,F23,F22,F21,F20,F25,F24,F67,F66,F29,F64,F63,F62,F61,F60,F16,F12,F17,S2,Y,F56,F57,F54,F55,F52,F53,F50,F51,F13,F58,F59,F30,F31,F18,F19,F34,F35,F37,F38,F39,F10,F11,F70,F71,F14,F15,F0,F1,F3,F5,F6,F8,F9,F32,F33,F69,F65
2010-06-02 09:30:00,0.959,1.053,-0.424,0.111,1.778,6.224,1.393,-0.015,0.646,0.979,84.223,0.680,0.523,0.800,0.111,0.055,0.854,1.066,0.749,0.255,-0.421,-6.039,-4.955,1.467,1.407,-0.034,0.887,-1.348,1.138,106.655,0.000,-0.035,-0.033,-0.035,-0.035,4.577,-0.037,1.043,3.833,0.529,-0.033,-0.034,-3.402,-3.156,-1.783,-5.150,0.357,0.357,1.006,0.975,1.047,-0.064,0.004,0.689,-1.221,-1.316,-0.232,0.967,6.041,29.268,0.790,5.857,-0.019,2.646,0.029,0.028,4.678,0.830
2010-06-02 10:00:00,0.959,1.054,-0.378,-1.096,1.792,7.117,0.785,-0.043,0.675,0.956,84.308,0.856,0.523,0.674,0.111,0.056,0.852,1.064,1.046,0.608,-0.491,-9.402,-1.855,0.646,1.163,-0.034,0.785,-1.366,0.387,106.452,0.000,-0.035,-0.033,-0.035,-0.035,4.601,-0.037,0.949,3.839,0.569,-0.034,-0.034,-3.431,-3.156,-1.094,-5.560,0.527,0.527,1.008,0.976,1.047,-0.076,0.011,3.090,-1.441,-2.418,-0.382,0.970,6.041,37.913,0.792,7.583,-0.011,-2.183,0.029,0.028,9.697,0.790
2010-06-02 10:30:00,0.958,1.054,-0.313,-1.032,1.824,8.898,0.297,-0.072,0.693,1.067,84.436,0.890,0.527,0.662,0.111,0.057,0.851,1.061,1.051,0.582,-0.592,-6.650,-1.100,2.110,1.427,-0.034,0.890,-1.384,2.261,106.560,1.000,-0.035,-0.033,-0.035,-0.035,4.704,-0.037,0.883,3.824,0.627,-0.034,-0.034,-3.562,-3.132,-0.408,-5.293,0.659,0.659,1.009,0.978,1.047,-0.086,0.017,1.310,-1.987,-1.358,-0.506,0.970,6.049,36.559,0.792,7.314,-0.020,0.781,0.029,0.028,9.766,0.568
2010-06-02 11:00:00,0.959,1.055,-0.249,-0.912,1.852,11.973,0.828,-0.105,0.767,1.080,84.104,0.730,0.529,0.676,0.111,0.059,0.848,1.058,0.939,0.389,-0.714,-6.130,-1.924,-2.968,1.418,-0.034,1.024,-1.405,-4.972,106.412,1.000,-0.035,-0.033,-0.035,-0.035,4.735,-0.037,0.833,3.816,0.677,-0.034,-0.034,-3.661,-3.072,-0.831,-4.770,0.707,0.707,1.009,0.979,1.046,-0.077,0.019,0.995,-3.316,-1.182,-0.773,0.968,6.024,64.692,0.790,12.941,-0.009,0.816,0.028,0.028,10.208,0.618
2010-06-02 11:30:00,0.959,1.055,-0.199,-0.746,1.914,19.391,1.750,-0.140,0.837,1.276,84.104,0.619,0.534,0.677,0.111,0.060,0.845,1.058,0.832,0.460,-0.833,-5.055,-2.358,-3.867,1.232,-0.034,0.797,-1.423,-4.474,106.573,1.000,-0.035,-0.033,-0.035,-0.035,4.776,-0.037,0.775,3.813,0.738,-0.034,-0.034,-3.837,-2.972,-1.138,-4.513,0.740,0.740,1.008,0.982,1.045,-0.080,0.020,3.812,23.552,-1.172,-1.557,0.966,6.024,72.457,0.789,14.491,-0.004,0.731,0.028,0.027,12.780,0.648
2010-06-02 12:00:00,0.959,1.055,-0.168,-0.731,1.995,74.667,0.556,-0.170,0.885,0.729,84.180,0.706,0.537,0.674,0.111,0.061,0.841,1.056,1.112,0.701,-0.881,-7.346,-3.110,-0.169,1.835,-0.034,1.720,-1.439,-0.117,106.867,1.000,-0.034,-0.033,-0.035,-0.035,4.786,-0.037,0.736,3.821,0.812,-0.034,-0.034,-3.980,-2.879,-1.464,-5.295,0.770,0.770,1.007,0.984,1.045,-0.080,0.017,-4.488,-3.621,-2.136,-2.772,0.965,6.033,67.241,0.788,13.448,0.000,-2.037,0.028,0.027,-1.222,0.724
2010-06-02 12:30:00,0.960,1.056,-0.186,-0.874,2.074,-151.000,0.214,-0.199,0.960,0.531,84.138,0.700,0.531,0.667,0.111,0.062,0.839,1.055,0.995,0.540,-0.705,-7.158,-2.977,-0.392,3.212,-0.034,2.735,-1.451,-0.295,106.984,1.000,-0.034,-0.033,-0.035,-0.035,4.816,-0.037,0.672,3.821,0.878,-0.034,-0.034,-4.234,-2.739,-1.850,-5.263,0.809,0.809,1.005,0.985,1.045,-0.077,0.017,-2.220,-1.932,2.284,-3.223,0.963,6.033,64.540,0.786,12.912,0.011,-2.535,0.028,0.027,1.083,0.781
2010-06-02 13:00:00,0.960,1.056,-0.179,-1.136,2.152,-38.250,0.450,-0.213,0.917,0.696,84.223,0.709,0.532,0.658,0.111,0.064,0.837,1.055,1.077,0.641,-0.490,-5.994,-2.624,-0.405,6.971,-0.034,5.534,-1.464,-0.440,107.104,1.000,-0.034,-0.033,-0.035,-0.035,4.826,-0.037,0.626,3.818,0.949,-0.034,-0.034,-4.511,-2.612,-1.901,-5.159,0.848,0.848,1.003,0.987,1.043,-0.075,0.011,-2.528,-4.420,0.651,11.636,0.963,5.992,66.814,0.786,13.366,0.013,2.520,0.028,0.027,0.977,0.591
2010-06-02 13:30:00,0.960,1.057,-0.187,-1.711,2.215,-27.294,1.062,-0.218,1.019,0.941,84.223,0.847,0.531,0.660,0.111,0.065,0.834,1.055,1.168,0.685,-0.223,-7.511,-2.575,-1.691,25.467,-0.034,19.650,-1.474,-0.365,107.093,1.000,-0.034,-0.033,-0.035,-0.035,4.841,-0.037,0.575,3.812,0.994,-0.034,-0.034,-4.841,-2.489,-2.200,-5.457,0.894,0.894,1.000,0.989,1.043,-0.077,0.011,-2.017,-2.161,0.513,1.013,0.963,5.992,72.312,0.786,14.460,0.021,-1.545,0.028,0.027,1.632,0.590
2010-06-02 14:00:00,0.960,1.058,-0.199,-14.700,2.238,-31.333,1.143,-0.224,1.192,0.618,84.180,1.019,0.526,0.675,0.110,0.066,0.831,1.055,1.390,0.799,0.111,-6.311,-2.494,1.315,5.229,-0.034,4.127,-1.483,9.773,107.060,1.000,-0.034,-0.033,-0.035,-0.034,4.851,-0.037,0.541,3.808,1.017,-0.034,-0.034,-4.771,-2.333,-2.309,-5.367,0.972,0.972,0.999,0.990,1.042,-0.076,0.012,-25.200,-9.738,0.348,0.339,0.963,5.984,73.933,0.786,14.790,0.022,3.457,0.028,0.027,1.534,0.649
2010-06-02 14:30:00,0.960,1.058,-0.175,1.871,2.240,-59.625,0.778,-0.244,1.448,0.467,84.223,0.966,0.531,0.715,0.110,0.068,0.828,1.054,1.224,0.556,0.521,-5.158,-2.701,0.622,83.500,-0.034,9.634,-1.491,2.372,107.083,1.000,-0.034,-0.033,-0.035,-0.034,4.854,-0.036,0.510,3.802,0.995,-0.034,-0.034,-4.529,-2.180,-2.456,-4.981,1.118,1.118,0.998,0.991,1.040,-0.074,0.013,-13.767,-7.000,0.188,0.084,0.963,5.992,76.084,0.787,15.221,0.023,0.835,0.028,0.027,2.830,0.770
