datetime,F41,F40,F43,F42,F45,F44,F47,F46,F49,F48,S1,F68,F23,F22,F21,F20,F25,F24,F67,F66,F29,F64,F63,F62,F61,F60,F16,F12,F17,S2,Y,F56,F57,F54,F55,F52,F53,F50,F51,F13,F58,F59,F30,F31,F18,F19,F34,F35,F37,F38,F39,F10,F11,F70,F71,F14,F15,F0,F1,F3,F5,F6,F8,F9,F32,F33,F69,F65
2010-06-02 09:30:00,0.956,0.970,0.130,0.178,-0.146,-0.046,1.770,-0.015,0.738,1.842,207.727,0.738,0.451,0.201,4.259,2.727,0.558,0.438,0.602,0.510,0.546,0.353,0.712,3.614,0.184,1.300,0.180,-7.852,-4.620,121.085,0.000,1.295,1.387,1.269,1.285,0.694,1.269,0.798,0.630,0.140,1.295,1.300,0.434,0.559,0.764,-0.036,0.915,0.915,1.006,0.962,0.959,-0.140,-0.603,0.900,0.861,-0.089,-0.275,0.933,0.849,0.948,1.716,0.948,0.312,-0.066,0.569,0.740,1.407,0.302
2010-06-02 10:00:00,0.955,0.970,0.143,3.583,-0.139,-0.037,0.971,-0.030,0.978,1.180,207.568,0.454,0.439,0.333,4.295,2.821,0.559,0.437,0.339,0.283,0.556,0.781,0.785,0.038,0.332,1.297,0.365,-6.366,-0.051,121.912,0.000,1.289,1.387,1.269,1.290,0.691,1.269,0.788,0.624,0.150,1.296,1.300,0.438,0.561,0.722,0.061,0.959,0.959,1.006,0.965,0.958,-0.096,-0.420,0.559,0.544,-0.200,-0.132,0.926,0.842,0.578,1.703,0.578,0.320,0.039,0.566,0.737,1.068,0.389
2010-06-02 10:30:00,0.955,0.969,0.154,-0.497,-0.128,-0.028,0.407,-0.069,1.055,0.978,207.830,0.505,0.428,0.299,4.331,2.926,0.558,0.435,0.372,0.277,0.574,0.850,0.783,0.009,0.497,1.297,0.582,-5.302,-0.148,121.947,1.000,1.290,1.387,1.276,1.290,0.685,1.269,0.779,0.622,0.158,1.300,1.300,0.446,0.562,0.853,0.074,1.002,1.002,1.003,0.967,0.958,0.002,-0.898,0.645,0.420,-10.000,-0.070,0.927,0.843,0.490,1.704,0.490,0.390,0.050,0.562,0.733,0.988,0.209
2010-06-02 11:00:00,0.955,0.968,0.165,-0.354,-0.123,-0.022,0.367,-0.116,1.056,1.021,207.858,0.447,0.417,0.270,4.368,3.040,0.557,0.433,0.351,0.263,0.595,0.718,0.772,9.263,0.373,1.291,0.485,-4.502,11.219,121.728,1.000,1.290,1.385,1.279,1.290,0.684,1.269,0.773,0.622,0.164,1.300,1.300,0.454,0.560,0.772,0.072,1.044,1.044,1.002,0.969,0.957,-0.038,-0.846,0.859,0.530,0.898,-0.146,0.929,0.846,0.476,1.708,0.476,0.360,0.043,0.559,0.729,0.929,0.257
2010-06-02 11:30:00,0.954,0.967,0.180,-0.489,-0.114,-0.016,0.486,-0.171,1.163,0.891,208.082,0.535,0.403,0.299,4.404,3.165,0.557,0.433,0.439,0.379,0.617,0.680,0.809,-0.263,0.507,1.293,0.601,-3.884,-0.978,121.538,1.000,1.291,1.385,1.286,1.290,0.686,1.269,0.768,0.629,0.172,1.300,1.300,0.463,0.554,0.878,0.106,1.077,1.077,1.002,0.971,0.957,-0.035,-0.846,0.822,0.519,1.044,-0.941,0.931,0.848,0.496,1.712,0.496,0.409,0.073,0.557,0.727,1.037,0.378
2010-06-02 12:00:00,0.954,0.967,0.195,-3.889,-0.104,-0.009,0.408,-0.198,1.148,0.651,207.858,0.594,0.391,0.383,4.447,3.305,0.558,0.433,0.502,0.505,0.643,0.727,0.691,-0.696,0.314,1.294,0.420,-3.424,-0.714,122.068,1.000,1.289,1.385,1.286,1.289,0.685,1.269,0.771,0.628,0.177,1.300,1.297,0.471,0.545,0.788,0.078,1.080,1.080,1.001,0.972,0.955,-0.037,-0.720,0.410,0.297,1.203,3.714,0.926,0.843,0.465,1.703,0.465,0.355,0.044,0.556,0.725,0.544,0.451
2010-06-02 12:30:00,0.954,0.966,0.205,0.820,-0.094,-0.004,0.145,-0.227,1.101,0.327,207.988,0.501,0.383,0.390,4.493,3.458,0.559,0.432,0.383,0.286,0.667,0.658,0.620,-0.315,0.285,1.294,0.338,-3.041,-0.533,122.181,1.000,1.285,1.385,1.285,1.285,0.682,1.269,0.766,0.625,0.181,1.300,1.297,0.479,0.534,0.769,0.078,1.082,1.082,0.999,0.974,0.955,-0.024,-0.741,0.858,0.638,0.289,0.544,0.926,0.843,0.383,1.702,0.383,0.348,0.042,0.555,0.724,1.000,0.467
2010-06-02 13:00:00,0.954,0.966,0.213,1.250,-0.088,-0.000,0.198,-0.258,1.040,0.323,207.736,0.544,0.374,0.395,4.538,3.635,0.559,0.431,0.427,0.220,0.689,0.606,0.568,1.136,0.206,1.289,0.255,-2.733,1.095,121.841,1.000,1.285,1.385,1.285,1.285,0.680,1.269,0.761,0.625,0.185,1.300,1.293,0.490,0.525,0.758,0.043,1.087,1.087,0.998,0.974,0.954,-0.062,-0.791,2.205,0.907,0.179,0.377,0.927,0.844,0.390,1.705,0.390,0.334,0.002,0.554,0.723,2.427,0.262
2010-06-02 13:30:00,0.953,0.965,0.222,-0.579,-0.082,0.003,0.383,-0.293,0.937,0.308,207.858,0.541,0.365,0.389,4.588,3.831,0.559,0.431,0.436,0.273,0.712,0.592,0.588,0.399,0.407,1.293,0.484,-2.481,0.442,121.587,1.000,1.287,1.383,1.285,1.285,0.678,1.269,0.758,0.624,0.187,1.300,1.294,0.499,0.513,0.772,0.061,1.092,1.092,0.999,0.976,0.953,-0.035,-0.820,0.855,0.631,0.374,0.419,0.930,0.846,0.375,1.710,0.375,0.340,0.017,0.553,0.721,1.023,0.464
2010-06-02 14:00:00,0.953,0.964,0.230,-0.208,-0.075,0.007,0.268,-0.338,0.889,0.320,207.736,0.620,0.354,0.388,4.642,4.053,0.558,0.430,0.461,0.278,0.740,0.529,0.562,0.508,0.520,1.296,0.639,-2.273,0.027,121.213,1.000,1.291,1.379,1.285,1.285,0.678,1.269,0.755,0.628,0.190,1.300,1.296,0.512,0.504,0.810,0.056,1.103,1.103,0.999,0.978,0.952,-0.109,-1.058,0.832,0.752,-2.920,0.455,0.932,0.849,0.374,1.714,0.374,0.349,0.009,0.552,0.720,1.000,0.451
