datetime,F41,F40,F43,F42,F45,F44,F47,F46,F49,F48,S1,F68,F23,F22,F21,F20,F25,F24,F67,F66,F29,F64,F63,F62,F61,F60,F16,F12,F17,S2,Y,F56,F57,F54,F55,F52,F53,F50,F51,F13,F58,F59,F30,F31,F18,F19,F34,F35,F37,F38,F39,F10,F11,F70,F71,F14,F15,F0,F1,F3,F5,F6,F8,F9,F32,F33,F69,F65
2010-06-02 09:30:00,1.063,0.951,0.104,-0.401,-0.117,-0.048,1.394,-0.005,0.945,1.078,207.727,0.342,0.273,0.309,0.754,18.097,0.276,0.256,0.339,0.344,1.017,0.645,0.873,-0.637,1.289,1.206,0.987,-1.765,-1.310,71.682,0.000,1.196,1.337,1.169,1.185,0.666,1.169,1.231,0.878,0.115,1.201,1.206,0.922,0.986,1.287,-0.070,0.990,0.990,1.009,0.951,0.948,-0.119,-0.214,0.689,0.937,-0.047,-0.163,1.789,1.341,1.019,2.898,1.019,0.236,-0.072,0.337,0.404,0.750,0.347
2010-06-02 10:00:00,1.061,0.951,0.117,-0.231,-0.112,-0.039,0.863,-0.010,0.946,0.950,207.568,0.283,0.265,0.419,0.759,26.061,0.277,0.255,0.263,0.257,1.048,1.740,1.006,0.061,0.635,1.208,0.938,-1.649,-0.047,71.986,0.000,1.205,1.337,1.172,1.187,0.663,1.169,1.241,0.877,0.125,1.203,1.206,0.933,0.986,1.170,0.156,1.089,1.089,1.009,0.955,0.946,-0.088,-0.167,0.593,0.336,-0.064,-0.072,1.780,1.333,1.165,2.883,1.165,0.239,0.052,0.337,0.403,0.687,0.568
2010-06-02 10:30:00,1.061,0.951,0.127,-0.228,-0.105,-0.030,0.379,-0.024,0.824,1.000,207.830,0.290,0.260,0.328,0.764,46.905,0.279,0.254,0.243,0.203,1.098,1.642,1.000,0.005,0.868,1.209,1.176,-1.536,-0.076,72.516,1.000,1.197,1.337,1.173,1.194,0.655,1.170,1.235,0.878,0.132,1.206,1.206,0.963,0.980,1.304,0.180,1.161,1.161,1.008,0.958,0.946,0.002,-0.327,1.078,0.539,-0.155,-0.029,1.769,1.324,0.788,2.866,0.788,0.278,0.064,0.336,0.402,1.137,0.344
2010-06-02 11:00:00,1.060,0.950,0.136,-0.209,-0.101,-0.024,0.216,-0.040,0.792,1.077,207.858,0.266,0.254,0.287,0.769,267.273,0.280,0.254,0.234,0.194,1.150,1.229,0.955,0.270,0.525,1.203,0.851,-1.427,0.287,72.481,1.000,1.196,1.337,1.173,1.195,0.651,1.170,1.249,0.877,0.137,1.206,1.206,0.994,0.975,1.145,0.164,1.226,1.226,1.007,0.962,0.944,-0.030,-0.309,-5.845,1.621,-0.557,-0.037,1.771,1.327,0.699,2.868,0.699,0.253,0.053,0.334,0.401,2.583,0.320
2010-06-02 11:30:00,1.059,0.950,0.146,-0.233,-0.094,-0.018,0.309,-0.060,0.770,1.085,208.082,0.261,0.251,0.287,0.775,-71.317,0.282,0.253,0.238,0.219,1.165,1.011,0.973,0.902,0.630,1.197,1.046,-1.327,0.824,72.505,1.000,1.196,1.333,1.181,1.196,0.649,1.170,1.262,0.878,0.145,1.206,1.206,1.036,0.966,1.217,0.197,1.302,1.302,1.006,0.965,0.943,-0.026,-0.315,-398.000,1.244,-4.087,-0.118,1.772,1.326,0.738,2.870,0.738,0.274,0.076,0.333,0.400,2.415,0.199
2010-06-02 12:00:00,1.059,0.949,0.155,-0.315,-0.086,-0.010,0.465,-0.071,0.804,0.621,207.858,0.299,0.246,0.339,0.780,-31.269,0.284,0.253,0.270,0.239,1.183,0.944,0.803,-4.200,0.389,1.199,0.814,-1.242,-2.634,72.391,1.000,1.197,1.329,1.184,1.196,0.647,1.170,1.267,0.878,0.151,1.206,1.208,1.070,0.958,1.149,0.138,1.349,1.349,1.005,0.968,0.942,-0.029,-0.306,9.735,1.426,-2.299,-0.195,1.773,1.327,0.716,2.871,0.716,0.249,0.045,0.333,0.400,1.789,0.330
2010-06-02 12:30:00,1.058,0.949,0.161,-0.382,-0.078,-0.005,0.250,-0.083,0.803,0.343,207.988,0.250,0.243,0.351,0.785,-19.801,0.284,0.252,0.208,0.153,1.202,0.932,0.747,-0.846,1.167,1.199,1.578,-1.166,-1.192,72.606,1.000,1.195,1.329,1.184,1.196,0.648,1.170,1.256,0.877,0.155,1.206,1.209,1.122,0.947,1.146,0.148,1.383,1.383,1.002,0.970,0.942,-0.017,-0.321,2.345,1.413,2.389,-0.613,1.769,1.326,0.686,2.865,0.686,0.249,0.045,0.333,0.399,1.468,0.442
2010-06-02 13:00:00,1.057,0.948,0.166,-0.250,-0.072,-0.000,0.312,-0.095,0.752,0.292,207.736,0.263,0.242,0.353,0.791,-14.447,0.285,0.252,0.242,0.154,1.222,0.745,0.662,-0.443,3.087,1.196,3.101,-1.098,-0.666,72.645,1.000,1.195,1.329,1.187,1.195,0.650,1.170,1.243,0.875,0.159,1.206,1.203,1.182,0.933,1.050,0.074,1.424,1.424,1.000,0.972,0.940,-0.040,-0.326,2.113,0.890,0.303,0.843,1.765,1.324,0.685,2.860,0.685,0.226,0.002,0.332,0.399,1.456,0.362
2010-06-02 13:30:00,1.057,0.948,0.170,-0.087,-0.066,0.003,0.391,-0.110,0.714,0.332,207.858,0.277,0.240,0.354,0.796,-11.341,0.284,0.252,0.269,0.208,1.239,0.757,0.693,3.243,3.135,1.197,4.125,-1.036,5.955,72.481,1.000,1.195,1.327,1.188,1.195,0.650,1.170,1.238,0.875,0.162,1.206,1.199,1.243,0.914,1.075,0.106,1.457,1.457,0.999,0.975,0.939,-0.023,-0.335,1.139,0.806,0.346,0.456,1.771,1.327,0.679,2.868,0.679,0.233,0.018,0.332,0.399,1.124,0.362
2010-06-02 14:00:00,1.055,0.947,0.175,-0.049,-0.059,0.008,0.297,-0.128,0.681,0.398,207.736,0.307,0.235,0.361,0.802,-9.315,0.284,0.251,0.276,0.191,1.263,0.621,0.644,0.993,18.158,1.199,15.379,-0.983,0.059,72.356,1.000,1.197,1.307,1.195,1.195,0.650,1.170,1.245,0.878,0.165,1.206,1.199,1.285,0.898,1.259,0.090,1.490,1.490,0.999,0.978,0.938,-0.064,-0.402,1.899,1.846,0.477,0.388,1.773,1.327,0.669,2.871,0.669,0.258,0.009,0.333,0.399,1.372,0.338
