datetime,F41,F40,F43,F42,F45,F44,F47,F46,F49,F48,S1,F68,F23,F22,F21,F20,F25,F24,F67,F66,F29,F64,F63,F62,F61,F60,F16,F12,F17,S2,Y,F56,F57,F54,F55,F52,F53,F50,F51,F13,F58,F59,F30,F31,F18,F19,F34,F35,F37,F38,F39,F10,F11,F70,F71,F14,F15,F0,F1,F3,F5,F6,F8,F9,F32,F33,F69,F65
2010-06-02 09:30:00,0.848,0.946,0.178,0.253,-0.953,-0.121,1.155,-0.005,0.850,1.312,207.727,0.598,0.451,0.472,-5.305,72.829,0.526,0.422,0.570,0.679,0.581,1.468,0.904,-2.734,0.222,11.344,0.176,-6.780,-3.058,77.545,0.000,11.286,12.101,11.298,11.298,0.941,11.298,0.907,0.907,0.197,11.466,11.368,0.575,0.823,0.773,-0.607,0.920,0.920,0.999,0.965,1.011,-12.421,-1.677,0.415,0.569,0.961,0.741,2.388,1.657,0.324,2.679,0.324,3.333,-1.124,4.964,5.647,0.506,0.511
2010-06-02 10:00:00,0.848,0.946,0.191,0.364,-0.865,-0.090,0.721,-0.010,0.907,0.954,207.568,0.578,0.448,0.447,-5.323,74.275,0.527,0.423,0.531,1.802,0.591,2.750,0.888,0.037,0.327,11.341,0.349,-5.716,-0.023,78.297,0.000,11.204,12.101,11.213,11.213,0.928,11.213,0.899,0.893,0.202,11.413,11.368,0.577,0.817,0.627,0.540,0.930,0.930,1.000,0.965,1.010,-4.794,-1.299,0.353,0.427,0.268,0.473,2.364,1.636,0.113,2.651,0.113,2.754,0.625,4.964,5.642,0.423,0.514
2010-06-02 10:30:00,0.848,0.946,0.200,0.320,-0.753,-0.064,0.230,-0.022,0.943,0.865,207.830,0.533,0.446,0.412,-5.348,75.769,0.526,0.423,0.451,0.595,0.605,2.379,0.897,0.004,0.538,11.338,0.485,-4.883,-0.090,78.614,1.000,11.220,12.101,11.220,11.220,0.914,11.220,0.890,0.890,0.205,11.397,11.368,0.581,0.805,0.709,0.454,0.936,0.936,0.998,0.966,1.009,0.060,-2.601,0.473,0.381,0.177,0.158,2.357,1.635,0.096,2.644,0.096,3.199,0.716,4.946,5.629,0.680,0.337
2010-06-02 11:00:00,0.848,0.946,0.208,0.250,-0.680,-0.048,0.225,-0.037,0.969,0.758,207.858,0.519,0.443,0.384,-5.375,77.368,0.527,0.423,0.436,0.525,0.619,2.136,0.888,6.069,0.331,11.209,0.385,-4.211,-4.432,78.455,1.000,11.220,12.101,11.220,11.220,0.911,11.220,0.887,0.888,0.206,11.368,11.368,0.582,0.792,0.690,0.589,0.940,0.940,0.998,0.966,1.008,-1.381,-2.433,0.626,0.488,0.207,0.127,2.362,1.639,0.094,2.649,0.094,3.101,0.654,4.924,5.614,0.656,0.377
2010-06-02 11:30:00,0.848,0.946,0.219,0.348,-0.625,-0.034,0.347,-0.055,0.933,0.721,208.082,0.519,0.444,0.373,-5.391,79.027,0.528,0.425,0.455,0.500,0.632,1.774,0.901,-0.212,0.359,11.249,0.414,-3.691,-0.255,78.297,1.000,11.220,12.053,11.220,11.220,0.916,11.220,0.879,0.889,0.211,11.368,11.344,0.583,0.773,0.775,0.676,0.946,0.946,0.998,0.967,1.007,-1.368,-2.540,0.525,0.378,0.267,0.197,2.369,1.642,0.098,2.658,0.098,3.503,0.981,4.912,5.611,0.623,0.380
2010-06-02 12:00:00,0.848,0.945,0.229,0.534,-0.562,-0.019,0.290,-0.066,0.869,0.549,207.858,0.559,0.441,0.372,-5.417,83.086,0.529,0.425,0.502,0.556,0.646,1.805,0.782,0.215,0.159,11.311,0.244,-3.302,0.295,78.020,1.000,11.242,12.046,11.220,11.220,0.910,11.220,0.873,0.888,0.215,11.368,11.341,0.584,0.753,0.732,0.519,0.950,0.950,0.997,0.967,1.006,-1.774,-2.426,0.456,0.379,0.441,0.212,2.376,1.648,0.091,2.664,0.091,3.217,0.630,4.901,5.595,0.544,0.372
2010-06-02 12:30:00,0.848,0.945,0.237,0.463,-0.495,-0.008,0.225,-0.077,0.860,0.274,207.988,0.508,0.440,0.373,-5.435,85.029,0.528,0.426,0.421,0.333,0.662,1.848,0.702,0.528,0.151,11.309,0.210,-2.987,0.595,78.020,1.000,11.277,12.046,11.220,11.220,0.936,11.220,0.843,0.886,0.218,11.368,11.338,0.586,0.732,0.760,0.563,0.953,0.953,0.997,0.968,1.005,-0.860,-2.662,0.935,0.872,0.614,0.202,2.377,1.651,0.091,2.666,0.091,3.330,0.619,4.882,5.582,1.000,0.447
2010-06-02 13:00:00,0.848,0.945,0.243,0.303,-0.449,-0.000,0.339,-0.088,0.794,0.306,207.736,0.527,0.437,0.365,-5.461,87.121,0.528,0.427,0.430,0.269,0.677,1.825,0.631,2.655,0.124,11.286,0.175,-2.727,2.727,78.020,1.000,11.264,12.046,11.220,11.220,0.938,11.220,0.836,0.884,0.220,11.368,11.295,0.586,0.712,0.712,0.346,0.952,0.952,0.997,0.968,1.004,-2.022,-2.815,0.948,0.657,0.413,0.259,2.374,1.648,0.090,2.663,0.090,3.057,0.030,4.872,5.578,1.000,0.300
2010-06-02 13:30:00,0.848,0.945,0.247,0.153,-0.400,0.006,0.234,-0.101,0.739,0.304,207.858,0.510,0.447,0.350,-5.476,92.194,0.527,0.427,0.426,0.283,0.695,2.109,0.655,0.614,0.240,11.332,0.328,-2.505,0.500,77.703,1.000,11.264,12.026,11.220,11.220,0.942,11.220,0.823,0.882,0.220,11.368,11.332,0.586,0.704,0.764,0.798,0.951,0.951,0.999,0.970,1.003,-1.019,-2.851,1.035,0.879,1.167,0.438,2.385,1.652,0.085,2.675,0.085,3.280,0.292,4.853,5.565,1.107,0.353
2010-06-02 14:00:00,0.848,0.945,0.252,0.179,-0.356,0.013,0.177,-0.117,0.667,0.330,207.736,0.502,0.448,0.350,-5.502,97.966,0.527,0.428,0.373,0.262,0.717,1.505,0.588,1.388,0.268,11.332,0.376,-2.322,0.069,77.861,1.000,11.274,12.020,11.220,11.242,0.970,11.220,0.795,0.882,0.222,11.368,11.332,0.589,0.697,0.794,0.425,0.953,0.953,1.000,0.971,1.002,-3.762,-3.326,2.238,5.255,-0.702,0.909,2.379,1.648,0.084,2.668,0.084,3.362,0.130,4.845,5.551,2.110,0.357
