datetime,F41,F40,F43,F42,F45,F44,F47,F46,F49,F48,S1,F68,F23,F22,F21,F20,F25,F24,F67,F66,F29,F64,F63,F62,F61,F60,F16,F12,F17,S2,Y,F56,F57,F54,F55,F52,F53,F50,F51,F13,F58,F59,F30,F31,F18,F19,F34,F35,F37,F38,F39,F10,F11,F70,F71,F14,F15,F0,F1,F3,F5,F6,F8,F9,F32,F33,F69,F65
2010-06-02 09:30:00,1.036,0.937,0.147,-0.428,-0.115,-0.069,1.223,-0.006,1.158,1.036,207.727,0.393,0.378,0.408,2.095,-5.809,0.368,0.350,0.531,0.593,0.924,0.582,1.225,8.465,13.889,3.077,2.889,-1.210,-5.769,71.820,0.000,3.051,3.302,3.011,3.033,0.885,3.011,1.286,1.062,0.149,3.066,3.077,1.231,1.289,1.568,-0.107,1.002,1.002,1.006,0.965,0.954,-0.268,-0.796,1.484,2.878,-0.062,-0.232,1.975,5.330,2.028,2.892,0.406,0.801,-0.224,1.159,1.340,1.381,0.360
2010-06-02 10:00:00,1.036,0.937,0.165,-0.384,-0.110,-0.055,0.971,-0.013,1.176,0.918,207.568,0.334,0.369,0.573,2.114,-5.606,0.368,0.350,0.400,0.378,0.949,1.318,1.092,0.040,1.957,3.078,2.516,-1.162,-0.028,71.870,0.000,3.072,3.302,3.011,3.033,0.887,3.011,1.290,1.060,0.160,3.069,3.077,1.238,1.289,1.354,0.188,1.091,1.091,1.007,0.967,0.953,-0.198,-0.597,0.627,0.639,-0.091,-0.106,1.973,5.322,2.133,2.888,0.427,0.808,0.140,1.158,1.338,0.610,0.544
2010-06-02 10:30:00,1.035,0.936,0.180,-0.306,-0.102,-0.041,0.641,-0.031,1.165,0.947,207.830,0.352,0.360,0.486,2.131,-5.422,0.369,0.350,0.385,0.310,0.986,1.302,1.075,0.008,4.680,3.075,4.528,-1.112,-0.164,71.939,1.000,3.074,3.302,3.022,3.040,0.883,3.013,1.287,1.067,0.170,3.077,3.077,1.243,1.280,1.513,0.213,1.185,1.185,1.006,0.970,0.953,0.004,-1.220,1.062,1.095,-0.199,-0.040,1.973,5.330,2.003,2.889,0.401,0.950,0.171,1.153,1.334,0.946,0.498
2010-06-02 11:00:00,1.035,0.936,0.192,-0.241,-0.097,-0.032,0.287,-0.053,1.105,0.923,207.858,0.352,0.353,0.417,2.149,-5.250,0.370,0.350,0.390,0.371,1.014,1.044,1.036,0.336,1.444,3.073,1.915,-1.061,0.192,72.317,1.000,3.058,3.302,3.026,3.053,0.879,3.013,1.291,1.068,0.178,3.077,3.077,1.248,1.272,1.240,0.183,1.256,1.256,1.006,0.973,0.951,-0.068,-1.127,1.554,1.494,-0.392,-0.044,1.963,5.330,1.408,2.874,0.282,0.829,0.133,1.149,1.331,0.912,0.423
2010-06-02 11:30:00,1.034,0.935,0.205,-0.351,-0.090,-0.023,0.179,-0.079,1.057,0.991,208.082,0.366,0.351,0.404,2.167,-5.076,0.371,0.351,0.366,0.441,1.021,0.914,1.065,0.162,4.500,3.073,4.098,-1.011,0.214,72.267,1.000,3.058,3.295,3.031,3.057,0.879,3.013,1.298,1.069,0.187,3.077,3.077,1.253,1.255,1.308,0.241,1.318,1.318,1.006,0.976,0.951,-0.061,-1.183,1.826,0.888,-1.205,-0.133,1.967,5.339,1.355,2.879,0.271,0.893,0.206,1.145,1.329,0.856,0.323
2010-06-02 12:00:00,1.033,0.935,0.216,-0.530,-0.082,-0.013,0.377,-0.096,1.045,0.717,207.858,0.400,0.347,0.420,2.185,-4.920,0.372,0.352,0.386,0.451,1.028,0.947,0.862,-0.943,-14.500,3.060,4.247,-0.966,-0.823,72.376,1.000,3.055,3.280,3.031,3.055,0.879,3.013,1.299,1.069,0.195,3.077,3.078,1.257,1.244,1.210,0.173,1.363,1.363,1.004,0.978,0.950,-0.063,-1.130,0.957,0.701,12.833,-0.231,1.962,5.330,1.331,2.872,0.266,0.796,0.124,1.143,1.326,0.730,0.535
2010-06-02 12:30:00,1.033,0.934,0.224,-0.505,-0.074,-0.006,0.250,-0.114,1.000,0.404,207.988,0.352,0.345,0.416,2.205,-4.763,0.373,0.352,0.308,0.248,1.037,0.889,0.775,-0.829,-3.360,3.060,23.818,-0.924,-1.208,72.336,1.000,3.050,3.280,3.032,3.051,0.876,3.013,1.302,1.068,0.201,3.077,3.075,1.265,1.219,1.304,0.184,1.405,1.405,1.002,0.980,0.951,-0.043,-1.293,1.914,1.366,0.506,-0.744,1.964,5.339,1.205,2.875,0.241,0.843,0.123,1.140,1.324,1.342,0.400
2010-06-02 13:00:00,1.031,0.934,0.230,-0.337,-0.069,-0.000,0.328,-0.131,0.950,0.350,207.736,0.363,0.344,0.419,2.224,-4.615,0.372,0.353,0.342,0.237,1.043,0.754,0.691,-100.000,-3.838,3.052,7.926,-0.887,-4.945,72.346,1.000,3.051,3.280,3.035,3.051,0.876,3.013,1.296,1.067,0.206,3.077,3.073,1.277,1.196,1.212,0.097,1.441,1.441,1.001,0.981,0.950,-0.106,-1.292,1.866,0.683,0.280,1.940,1.961,5.330,1.234,2.871,0.247,0.773,0.006,1.138,1.322,1.328,0.442
2010-06-02 13:30:00,1.030,0.933,0.235,-0.153,-0.063,0.004,0.514,-0.153,0.890,0.284,207.858,0.379,0.344,0.417,2.243,-4.480,0.372,0.353,0.363,0.286,1.046,0.756,0.762,2.807,8.206,3.057,4.082,-0.851,1.909,72.207,1.000,3.053,3.272,3.035,3.051,0.876,3.013,1.294,1.071,0.209,3.077,3.072,1.273,1.157,1.283,0.133,1.464,1.464,0.999,0.982,0.950,-0.062,-1.335,1.365,0.970,0.392,0.598,1.966,5.330,1.205,2.879,0.241,0.813,0.049,1.136,1.320,1.038,0.434
2010-06-02 14:00:00,1.030,0.933,0.241,-0.059,-0.058,0.010,0.344,-0.180,0.884,0.386,207.736,0.422,0.339,0.436,2.262,-4.344,0.373,0.354,0.373,0.259,1.056,0.648,0.693,2.434,-10.147,3.060,13.118,-0.819,0.100,72.187,1.000,3.056,3.262,3.051,3.051,0.876,3.013,1.297,1.078,0.214,3.077,3.060,1.276,1.124,1.364,0.113,1.521,1.521,0.999,0.984,0.948,-0.185,-1.560,1.604,1.331,0.480,0.372,1.965,5.330,1.204,2.878,0.241,0.835,0.023,1.135,1.319,1.263,0.398
