datetime,F41,F40,F43,F42,F45,F44,F47,F46,F49,F48,S1,F68,F23,F22,F21,F20,F25,F24,F67,F66,F29,F64,F63,F62,F61,F60,F16,F12,F17,S2,Y,F56,F57,F54,F55,F52,F53,F50,F51,F13,F58,F59,F30,F31,F18,F19,F34,F35,F37,F38,F39,F10,F11,F70,F71,F14,F15,F0,F1,F3,F5,F6,F8,F9,F32,F33,F69,F65
2010-06-02 09:30:00,1.057,1.000,0.191,0.360,-1.188,-0.078,1.107,-0.006,0.969,1.103,207.727,0.448,0.401,0.454,0.919,1.362,0.358,0.361,0.548,0.688,1.287,0.790,0.725,-0.601,0.417,1.593,0.336,1.401,-0.701,67.268,0.000,1.579,1.678,1.578,1.578,0.639,1.578,1.637,1.049,0.181,1.587,1.593,1.684,2.203,1.146,-0.152,0.946,0.946,1.000,0.969,0.984,-1.639,-0.371,0.736,4.000,-0.430,1.248,1.763,1.095,0.611,3.088,0.611,0.573,-0.124,0.612,0.655,0.677,0.365
2010-06-02 10:00:00,1.057,1.000,0.214,2.000,-1.132,-0.060,0.702,-0.013,0.925,0.970,207.568,0.382,0.399,0.518,0.921,1.371,0.361,0.363,0.488,0.509,1.342,1.821,0.781,0.084,0.341,1.596,0.466,1.433,-0.128,67.674,0.000,1.588,1.678,1.578,1.580,0.637,1.578,1.649,1.043,0.191,1.589,1.593,1.699,2.189,0.978,0.267,0.961,0.961,1.001,0.970,0.983,-1.381,-0.275,1.185,29.800,-0.348,-12.200,1.751,1.085,0.545,3.067,0.545,0.497,0.078,0.615,0.656,0.698,0.531
2010-06-02 10:30:00,1.055,1.000,0.232,4.333,-1.094,-0.045,0.208,-0.029,0.801,0.878,207.830,0.370,0.397,0.424,0.923,1.380,0.364,0.364,0.390,0.333,1.379,1.793,0.798,0.006,0.491,1.590,0.583,1.471,-0.077,68.084,1.000,1.581,1.678,1.578,1.581,0.630,1.578,1.614,1.044,0.197,1.593,1.593,1.657,2.116,1.033,0.319,0.967,0.967,1.000,0.971,0.983,0.025,-0.537,1.468,6.900,1.923,-0.649,1.743,1.081,0.372,3.053,0.372,0.541,0.099,0.615,0.656,1.100,0.460
2010-06-02 11:00:00,1.055,0.999,0.247,0.984,-1.031,-0.035,0.141,-0.049,0.770,0.805,207.858,0.394,0.392,0.379,0.925,1.389,0.367,0.364,0.425,0.390,1.425,1.423,0.800,0.344,0.355,1.586,0.506,1.515,0.522,67.973,1.000,1.581,1.678,1.578,1.581,0.628,1.578,1.617,1.049,0.201,1.593,1.593,1.591,2.035,0.980,0.329,0.971,0.971,1.000,0.972,0.981,-0.558,-0.518,1.150,1.198,0.599,-3.714,1.746,1.083,0.349,3.058,0.349,0.515,0.088,0.615,0.656,1.099,0.452
2010-06-02 11:30:00,1.055,0.999,0.258,0.823,-0.952,-0.025,0.236,-0.073,0.730,0.793,208.082,0.378,0.391,0.374,0.927,1.399,0.369,0.365,0.357,0.436,1.373,1.216,0.826,-0.427,0.455,1.584,0.596,1.565,-0.481,67.930,1.000,1.581,1.677,1.578,1.581,0.626,1.578,1.627,1.052,0.208,1.593,1.593,1.542,1.933,1.035,0.427,0.976,0.976,1.001,0.973,0.981,-0.460,-0.539,3.586,3.500,0.679,21.333,1.749,1.085,0.364,3.063,0.364,0.553,0.135,0.616,0.656,1.054,0.302
2010-06-02 12:00:00,1.054,0.999,0.268,0.769,-0.857,-0.014,0.370,-0.086,0.715,0.504,207.858,0.396,0.389,0.391,0.929,1.409,0.372,0.365,0.399,0.459,1.321,1.243,0.692,0.333,0.213,1.587,0.366,1.617,0.579,67.819,1.000,1.584,1.677,1.578,1.581,0.625,1.578,1.626,1.052,0.212,1.593,1.596,1.479,1.829,0.984,0.297,0.979,0.979,1.001,0.974,0.980,-0.567,-0.567,1.226,30.143,1.770,-1.857,1.750,1.085,0.365,3.065,0.365,0.516,0.081,0.616,0.656,0.889,0.373
2010-06-02 12:30:00,1.054,0.998,0.275,0.714,-0.800,-0.006,0.276,-0.102,0.696,0.249,207.988,0.336,0.388,0.413,0.931,1.419,0.373,0.365,0.298,0.231,1.290,1.191,0.627,6.714,0.277,1.587,0.337,1.675,1.921,67.891,1.000,1.584,1.677,1.578,1.581,0.623,1.578,1.628,1.050,0.216,1.593,1.590,1.504,1.730,1.005,0.314,0.982,0.982,1.000,0.975,0.979,-0.561,-0.616,4.607,1.976,3.440,1.582,1.749,1.085,0.363,3.064,0.363,0.528,0.080,0.616,0.656,1.610,0.397
2010-06-02 13:00:00,1.054,0.998,0.280,1.765,-0.786,-0.000,0.299,-0.117,0.678,0.222,207.736,0.349,0.387,0.427,0.934,1.430,0.374,0.364,0.332,0.231,1.281,1.065,0.578,-0.529,0.300,1.586,0.312,1.737,-1.247,67.944,1.000,1.582,1.677,1.581,1.581,0.622,1.578,1.624,1.048,0.220,1.593,1.586,1.583,1.647,0.936,0.174,0.988,0.988,0.999,0.976,0.978,-1.033,-0.621,7.916,-4.623,0.464,0.642,1.746,1.083,0.365,3.057,0.365,0.485,0.004,0.616,0.656,3.937,0.511
2010-06-02 13:30:00,1.054,0.998,0.285,-2.200,-0.727,0.005,0.277,-0.137,0.612,0.292,207.858,0.356,0.388,0.428,0.935,1.442,0.375,0.364,0.351,0.285,1.270,1.072,0.600,-6.423,0.521,1.584,0.502,1.807,-6.879,67.906,1.000,1.582,1.677,1.581,1.581,0.621,1.578,1.615,1.049,0.221,1.593,1.587,1.658,1.554,0.948,0.243,0.987,0.987,0.999,0.977,0.978,-0.175,-0.665,2.020,1.266,0.440,0.649,1.748,1.083,0.356,3.061,0.356,0.494,0.033,0.617,0.656,1.415,0.550
2010-06-02 14:00:00,1.053,0.997,0.291,-0.455,-0.600,0.011,0.204,-0.162,0.557,0.355,207.736,0.400,0.382,0.428,0.938,1.454,0.376,0.363,0.351,0.255,1.294,0.831,0.567,0.676,0.591,1.587,0.609,1.880,0.066,67.819,1.000,1.582,1.677,1.581,1.583,0.621,1.578,1.611,1.053,0.224,1.593,1.587,1.748,1.480,0.986,0.186,0.997,0.997,1.000,0.979,0.978,-0.480,-0.817,4.384,4.598,0.689,0.709,1.749,1.085,0.352,3.063,0.352,0.511,0.015,0.618,0.656,1.792,0.353
