datetime,F41,F40,F43,F42,F45,F44,F47,F46,F49,F48,S1,F68,F23,F22,F21,F20,F25,F24,F67,F66,F29,F64,F63,F62,F61,F60,F16,F12,F17,S2,Y,F56,F57,F54,F55,F52,F53,F50,F51,F13,F58,F59,F30,F31,F18,F19,F34,F35,F37,F38,F39,F10,F11,F70,F71,F14,F15,F0,F1,F3,F5,F6,F8,F9,F32,F33,F69,F65
2010-06-02 09:30:00,1.007,0.995,-0.303,-0.261,1.980,3.023,0.913,-inf,0.751,0.869,124.914,0.847,0.754,0.600,5.114,12.782,0.703,0.809,1.003,1.302,0.009,0.908,0.709,-0.788,-0.731,11.925,-0.758,1.269,-0.888,65.653,0.000,11.813,11.880,11.742,11.742,1.503,11.696,0.973,0.973,-0.858,11.885,11.914,0.077,2.300,1.927,0.754,1.424,1.424,1.003,0.996,0.998,11.504,-5.498,0.036,0.918,-0.035,-0.386,0.313,1.590,14.200,1.903,2.840,331.000,10.714,10.949,11.350,0.168,0.794
2010-06-02 10:00:00,1.007,0.995,-0.257,-0.820,1.838,2.469,2.681,-12.429,0.886,1.053,126.507,0.751,0.772,1.165,5.225,12.808,0.709,0.823,0.823,0.712,0.034,0.818,1.704,5.433,-1.243,11.930,-1.168,1.270,7.462,65.828,0.000,12.098,11.880,11.905,11.926,1.519,11.794,0.995,0.992,-0.736,11.891,11.914,0.124,2.265,2.883,0.589,2.426,2.426,1.006,0.999,0.999,9.628,-10.630,0.536,1.205,-0.553,-0.422,0.317,1.615,42.205,1.922,8.441,18.065,4.488,10.949,11.352,0.024,1.247
2010-06-02 10:30:00,1.006,0.995,-0.183,-1.354,1.679,2.180,8.077,-6.538,0.896,1.542,127.062,0.657,0.814,1.190,5.318,12.815,0.719,0.853,0.748,0.750,0.072,0.292,2.381,2.049,-1.467,12.103,-1.484,1.269,1.709,65.881,0.000,12.192,11.880,11.961,11.997,1.525,11.850,1.009,1.002,-0.415,11.909,11.914,0.195,2.143,3.601,0.369,3.345,3.345,1.009,1.002,0.998,7.864,-7.814,0.618,1.519,-1.278,-0.563,0.318,1.615,31.761,1.929,6.352,27.512,1.222,11.014,11.376,0.031,1.453
2010-06-02 11:00:00,1.006,0.995,-0.098,-1.719,1.554,1.950,1.667,-4.765,0.840,1.434,127.451,0.757,0.852,1.102,5.425,12.834,0.727,0.880,1.003,0.986,0.100,1.235,1.566,0.270,-1.926,12.136,-2.879,1.270,0.251,66.430,0.000,12.111,11.870,11.981,12.017,1.517,11.870,1.006,0.994,0.161,11.909,11.925,0.278,1.902,2.558,0.728,4.112,4.112,1.011,1.005,0.999,9.805,-11.315,0.316,0.591,-2.042,-0.789,0.316,1.608,13.767,1.919,2.753,14.957,2.167,11.092,11.408,2.292,0.843
2010-06-02 11:30:00,1.006,0.995,0.021,-2.765,1.456,1.778,0.428,-3.850,0.749,1.254,127.427,0.879,0.906,0.950,5.524,12.849,0.742,0.914,1.169,1.362,0.186,-2.833,1.110,-0.120,-3.186,12.173,-6.510,1.274,-0.069,66.939,0.000,12.027,11.848,11.996,12.027,1.524,11.885,0.959,0.968,1.111,11.914,11.925,0.361,1.544,2.019,2.000,4.567,4.567,1.013,1.007,0.999,9.939,-12.522,1.744,0.764,-7.963,-1.144,0.314,1.587,6.046,1.904,1.209,10.664,3.480,11.191,11.451,-5.851,0.924
2010-06-02 12:00:00,1.007,0.996,0.117,-4.462,1.337,1.519,0.309,-3.217,0.799,1.274,127.327,0.677,0.943,0.932,5.625,12.845,0.753,0.938,0.944,0.844,0.253,0.314,1.256,-1.662,-12.033,12.108,-9.278,1.277,-1.874,66.551,0.000,12.027,11.845,11.996,12.027,1.519,11.885,0.936,0.962,2.271,11.914,11.930,0.495,1.242,2.460,0.403,4.987,4.987,1.015,1.010,0.999,5.948,-10.264,0.162,0.172,11.471,-1.757,0.315,1.595,5.078,1.913,1.016,13.957,1.457,11.288,11.493,-1.126,1.018
2010-06-02 12:30:00,1.007,0.996,0.254,-4.213,1.223,1.261,0.630,-2.731,0.838,1.281,127.516,0.816,0.981,0.927,5.717,12.855,0.766,0.964,1.145,1.070,0.387,0.249,1.340,0.763,-2.661,12.096,-3.547,1.278,0.448,66.377,0.000,12.093,11.845,11.996,12.027,1.516,11.885,0.923,0.963,4.062,11.914,12.103,0.693,1.015,3.056,0.390,5.429,5.429,1.016,1.013,0.999,6.181,-12.951,0.303,-0.027,20.455,-3.283,0.316,1.608,5.243,1.921,1.049,19.351,0.112,11.381,11.535,-6.395,1.135
2010-06-02 13:00:00,1.007,0.996,0.396,-4.102,1.121,1.008,5.000,-2.429,0.859,0.812,127.378,0.733,1.012,0.936,5.808,12.863,0.777,0.989,1.013,0.932,0.561,0.542,1.297,-6.965,-3.351,12.107,-4.367,1.280,16.367,66.470,0.000,12.100,11.845,11.996,12.027,1.495,11.885,0.941,0.973,7.016,11.914,12.136,0.972,0.750,2.853,0.529,5.894,5.894,1.012,1.015,0.998,7.292,-12.550,0.385,0.138,11.018,-10.352,0.316,1.608,5.490,1.916,1.098,17.278,2.347,11.470,11.576,-23.889,1.062
2010-06-02 13:30:00,1.007,0.996,0.557,-3.150,1.016,0.837,6.444,-2.241,0.890,0.564,127.266,0.894,1.028,0.962,5.878,12.867,0.787,1.005,1.243,0.964,0.774,0.930,0.977,-3.341,-2.993,12.093,-4.927,1.280,-2.198,66.470,0.000,12.108,11.845,12.027,12.027,1.498,11.885,0.929,0.963,16.571,11.914,12.173,1.434,0.488,2.880,0.809,6.540,6.540,1.009,1.017,0.999,7.539,-11.798,-1.602,-0.405,6.701,8.619,0.315,1.595,5.659,1.915,1.132,17.483,7.465,11.583,11.629,9.446,0.753
2010-06-02 14:00:00,1.007,0.996,0.736,-2.857,0.941,0.699,6.273,-1.935,1.059,0.553,126.878,0.981,1.029,0.989,5.962,12.868,0.798,1.019,1.312,1.020,1.009,1.460,0.972,-3.765,-3.290,12.058,-5.707,1.280,-3.233,66.537,0.000,12.103,11.845,12.027,12.027,1.506,11.885,0.928,0.966,52.609,11.914,12.073,2.371,0.270,2.764,1.066,7.034,7.034,1.005,1.019,0.998,9.620,-5.019,-1.675,-0.774,3.312,3.000,0.314,1.595,5.986,1.907,1.197,16.302,8.685,11.693,11.683,5.383,0.941
