datetime,F41,F40,F43,F42,F45,F44,F47,F46,F49,F48,S1,F68,F23,F22,F21,F20,F25,F24,F67,F66,F29,F64,F63,F62,F61,F60,F16,F12,F17,S2,Y,F56,F57,F54,F55,F52,F53,F50,F51,F13,F58,F59,F30,F31,F18,F19,F34,F35,F37,F38,F39,F10,F11,F70,F71,F14,F15,F0,F1,F3,F5,F6,F8,F9,F32,F33,F69,F65
2010-06-02 09:30:00,1.074,1.056,0.349,-0.185,2.401,0.407,1.913,0.995,0.791,1.106,33.888,0.445,0.520,0.462,0.650,1.097,0.500,0.434,0.356,0.311,0.687,2.066,-0.662,1.409,2.822,0.489,2.537,1.682,1.521,67.198,0.000,0.485,0.508,0.469,0.480,1.196,0.474,0.900,0.709,0.339,0.489,0.489,0.520,2.500,-0.841,2.362,0.862,0.862,1.013,0.974,1.018,-1.664,0.599,-14.000,-2.402,0.162,0.048,0.444,1.067,0.645,0.504,0.323,0.120,0.405,0.268,0.285,-8.115,0.758
2010-06-02 10:00:00,1.074,1.057,0.360,-0.039,2.869,0.452,1.186,1.015,0.806,1.208,34.079,0.380,0.497,0.637,0.650,1.093,0.495,0.427,0.308,0.317,0.694,2.679,0.324,1.826,1.157,0.491,0.146,1.673,4.191,67.101,0.000,0.490,0.508,0.470,0.481,1.179,0.474,0.914,0.710,0.363,0.491,0.491,0.529,2.529,0.229,2.087,1.026,1.026,1.013,0.978,1.017,-2.267,0.608,0.338,-52.714,0.145,0.072,0.447,1.073,0.824,0.508,0.412,0.250,0.476,0.264,0.283,0.192,0.573
2010-06-02 10:30:00,1.074,1.056,0.370,0.006,3.535,0.509,0.905,1.036,0.812,1.303,34.079,0.464,0.479,0.619,0.651,1.087,0.491,0.418,0.405,0.485,0.708,2.910,0.028,1.209,0.729,0.492,-0.070,1.660,1.432,67.120,0.000,0.493,0.508,0.471,0.481,1.179,0.474,0.917,0.710,0.390,0.491,0.491,0.545,2.590,-0.036,1.799,1.196,1.196,1.013,0.982,1.017,-3.130,0.599,0.057,3.554,0.047,0.093,0.447,1.073,1.005,0.508,0.503,0.193,0.540,0.260,0.280,-0.604,0.541
2010-06-02 11:00:00,1.075,1.056,0.390,0.002,4.362,0.570,1.865,1.058,0.790,1.447,34.169,0.442,0.464,0.637,0.652,1.082,0.486,0.411,0.359,0.432,0.671,2.611,0.262,0.881,-1.288,0.493,-2.016,1.645,0.600,67.081,0.000,0.493,0.508,0.471,0.481,1.173,0.474,0.934,0.713,0.424,0.491,0.491,0.568,2.808,0.280,1.828,1.391,1.391,1.013,0.986,1.016,122.500,0.616,-1.558,-1.223,-0.025,0.094,0.449,1.073,1.150,0.509,0.575,0.226,0.538,0.257,0.278,0.264,0.453
2010-06-02 11:30:00,1.075,1.056,0.413,-0.004,5.613,0.627,4.207,1.083,0.809,1.724,34.219,0.491,0.452,0.589,0.652,1.080,0.482,0.404,0.400,0.489,0.680,1.896,0.263,0.901,-2.360,0.494,-2.726,1.631,0.963,67.081,0.000,0.496,0.509,0.474,0.487,1.177,0.474,0.928,0.720,0.463,0.491,0.491,0.589,3.097,0.338,1.490,1.590,1.590,1.013,0.991,1.016,15.118,0.636,4.914,-2.006,-0.166,0.058,0.449,1.078,1.650,0.510,0.825,0.241,0.638,0.254,0.276,1.193,0.599
2010-06-02 12:00:00,1.075,1.056,0.433,-0.035,7.250,0.678,1.562,1.109,0.874,1.273,34.239,0.486,0.446,0.564,0.653,1.075,0.480,0.400,0.416,0.580,0.730,5.589,0.355,0.415,-1.700,0.494,-2.761,1.616,0.301,67.363,0.000,0.493,0.509,0.478,0.492,1.175,0.474,0.925,0.721,0.504,0.491,0.491,0.627,3.515,0.425,2.048,1.786,1.786,1.012,0.995,1.015,8.821,0.639,5.279,-2.865,-0.335,-0.004,0.448,1.072,1.441,0.508,0.721,0.254,0.496,0.251,0.275,1.612,0.763
2010-06-02 12:30:00,1.075,1.056,0.451,-0.090,9.667,0.723,0.637,1.141,0.869,1.170,34.199,0.529,0.442,0.559,0.653,1.071,0.478,0.397,0.471,0.624,0.787,4.090,0.326,-0.357,-1.092,0.494,-1.827,1.601,-0.302,67.179,0.000,0.493,0.509,0.480,0.493,1.180,0.474,0.918,0.719,0.544,0.491,0.492,0.667,4.119,0.388,1.853,1.969,1.969,1.011,0.999,1.014,-6.622,0.683,0.839,-6.778,-0.430,-0.133,0.448,1.073,1.446,0.509,0.723,0.258,0.531,0.250,0.274,1.538,0.479
2010-06-02 13:00:00,1.075,1.056,0.464,-0.143,12.429,0.780,0.759,1.169,0.985,1.242,34.199,0.547,0.440,0.540,0.654,1.067,0.477,0.391,0.402,0.520,0.845,-6.500,0.307,-1.132,-0.497,0.493,-1.517,1.587,-0.824,67.363,0.000,0.492,0.509,0.483,0.492,1.181,0.474,0.919,0.716,0.582,0.491,0.493,0.720,5.020,0.382,2.237,2.142,2.142,1.009,1.000,1.013,25.889,0.673,0.731,-10.242,-0.612,-0.278,0.447,1.067,1.409,0.508,0.704,0.254,0.489,0.249,0.273,1.306,0.471
2010-06-02 13:30:00,1.075,1.055,0.468,-0.157,16.476,0.819,0.515,1.206,1.030,1.065,34.199,0.490,0.441,0.542,0.654,1.063,0.476,0.387,0.363,0.490,0.898,-7.289,0.322,-0.115,-0.634,0.493,-1.306,1.571,-0.188,67.324,0.000,0.492,0.509,0.483,0.492,1.165,0.474,0.932,0.717,0.616,0.491,0.494,0.773,6.302,0.370,2.517,2.285,2.285,1.007,1.003,1.013,5.222,0.686,0.647,4.242,-0.917,-0.483,0.448,1.073,1.367,0.508,0.684,0.238,0.465,0.248,0.273,1.208,0.419
2010-06-02 14:00:00,1.075,1.055,0.471,-0.056,24.500,0.852,0.424,1.239,1.081,0.860,34.149,0.478,0.441,0.537,0.655,1.060,0.474,0.383,0.434,0.508,0.906,-2.333,0.335,1.417,-0.643,0.495,-0.919,1.558,0.951,66.887,0.000,0.493,0.510,0.483,0.492,1.162,0.474,0.922,0.720,0.658,0.491,0.495,0.797,8.382,0.319,2.742,2.445,2.445,1.005,1.006,1.012,-4.848,0.693,0.446,1.056,-0.481,-0.920,0.450,1.078,1.310,0.511,0.655,0.261,0.458,0.248,0.272,0.842,0.535
2010-06-02 14:30:00,1.075,1.055,0.477,-0.007,42.875,0.876,1.255,1.269,1.218,0.708,34.149,0.452,0.439,0.550,0.655,1.057,0.473,0.381,0.398,0.397,0.918,-2.716,0.252,0.741,-0.331,0.494,-0.271,1.547,0.896,66.829,0.000,0.493,0.510,0.486,0.492,1.165,0.474,0.929,0.727,0.712,0.491,0.494,0.814,12.542,0.275,3.047,2.619,2.619,1.003,1.008,1.011,-21.818,0.695,1.672,-7.548,-0.136,-1.929,0.450,1.078,1.530,0.511,0.765,0.272,0.426,0.247,0.272,1.370,0.780
2010-06-02 15:00:00,1.075,1.055,0.475,-0.059,49.286,0.886,1.852,1.294,1.244,0.928,34.199,0.551,0.441,0.567,0.656,1.053,0.473,0.380,0.409,0.423,0.987,-1.338,0.259,0.093,-0.296,0.494,-0.382,1.534,0.359,67.111,0.000,0.494,0.510,0.491,0.492,1.163,0.474,0.932,0.728,0.762,0.491,0.494,0.873,24.846,0.350,5.139,2.794,2.794,1.001,1.010,1.010,18.077,0.678,0.735,5.437,-0.269,25.000,0.449,1.073,1.592,0.510,0.796,0.242,0.414,0.247,0.272,1.253,0.582
2010-06-02 15:30:00,1.075,1.055,0.482,-0.500,31.818,0.877,1.469,1.312,1.103,1.201,34.169,0.442,0.443,0.626,0.656,1.050,0.472,0.380,0.371,0.388,1.052,-0.946,0.720,-0.216,-0.139,0.495,-0.379,1.521,-0.078,67.208,0.000,0.494,0.508,0.492,0.492,1.168,0.474,0.937,0.735,0.803,0.491,0.494,0.929,162.000,0.370,-404.000,2.969,2.969,1.001,1.011,1.009,-5.229,0.669,-0.670,39.500,-3.706,5.333,0.448,1.073,1.736,0.508,0.868,0.243,0.368,0.249,0.272,-0.455,0.570
2010-06-03 09:30:00,1.075,1.055,0.481,-1.093,25.214,0.862,1.021,1.317,1.111,1.138,34.179,0.428,0.444,0.627,0.656,1.048,0.471,0.380,0.363,0.309,1.052,-0.331,0.464,-0.437,-0.185,0.493,-0.385,1.514,-0.305,67.655,0.000,0.491,0.504,0.491,0.491,1.168,0.474,0.939,0.737,0.814,0.492,0.493,0.929,inf,0.164,-1.074,2.978,2.978,1.000,1.012,1.009,4.636,0.625,3.319,-1.765,0.558,-8.333,0.445,1.067,0.861,0.505,0.430,0.205,0.297,0.249,0.273,2.234,0.751
