datetime,F41,F40,F43,F42,F45,F44,F47,F46,F49,F48,S1,F68,F23,F22,F21,F20,F25,F24,F67,F66,F29,F64,F63,F62,F61,F60,F16,F12,F17,S2,Y,F56,F57,F54,F55,F52,F53,F50,F51,F13,F58,F59,F30,F31,F18,F19,F34,F35,F37,F38,F39,F10,F11,F70,F71,F14,F15,F0,F1,F3,F5,F6,F8,F9,F32,F33,F69,F65
2010-06-02 09:30:00,0.795,0.892,0.010,0.113,-1.741,-0.644,1.454,-0.111,0.840,1.198,73.868,0.454,0.451,0.368,-1.343,-3.474,0.630,0.458,0.268,0.213,-0.152,0.562,1.183,0.658,-0.138,2.578,-0.713,-0.912,0.569,67.198,0.000,2.562,2.709,2.476,2.536,1.068,2.486,0.924,0.845,0.068,2.578,2.578,-1.217,-1.651,1.202,0.978,0.675,0.675,1.013,0.971,0.967,9.533,-1.124,2.000,1.809,0.167,0.058,1.316,0.316,0.686,1.099,3.430,0.702,-1.995,1.248,1.513,-10.192,0.557
2010-06-02 10:00:00,0.795,0.893,0.004,0.048,-2.180,-0.629,0.922,-0.123,0.851,1.257,73.909,0.483,0.432,0.553,-1.346,-3.465,0.624,0.453,0.239,0.136,-0.171,1.088,1.097,2.797,-0.450,2.598,-1.362,-0.904,7.962,67.101,0.000,2.586,2.709,2.481,2.543,1.054,2.486,0.919,0.844,0.074,2.593,2.593,-1.203,-1.671,1.021,1.091,0.773,0.773,1.013,0.976,0.967,12.648,-0.967,-0.718,33.143,0.123,0.089,1.319,0.316,0.471,1.101,2.355,0.892,-1.876,1.231,1.500,2.464,0.531
2010-06-02 10:30:00,0.795,0.893,0.002,0.045,-2.798,-0.620,0.724,-0.135,0.840,1.335,73.975,0.512,0.417,0.535,-1.350,-3.454,0.617,0.448,0.311,0.200,-0.163,0.933,1.055,0.849,-0.674,2.609,-1.211,-0.892,0.554,67.120,1.000,2.604,2.709,2.482,2.542,1.052,2.486,0.920,0.844,0.080,2.593,2.593,-1.188,-1.699,1.028,0.870,0.853,0.853,1.013,0.980,0.966,18.899,-1.015,-0.418,-3.392,0.040,0.098,1.320,0.321,0.573,1.102,2.866,0.894,-1.915,1.214,1.488,1.019,0.379
2010-06-02 11:00:00,0.796,0.893,0.007,0.064,-3.575,-0.611,1.568,-0.148,0.819,1.360,73.897,0.530,0.403,0.540,-1.354,-3.443,0.611,0.442,0.329,0.193,-0.114,1.054,0.758,0.070,-0.822,2.606,-1.547,-0.879,0.103,67.081,1.000,2.604,2.709,2.483,2.542,1.050,2.486,0.923,0.846,0.084,2.593,2.593,-1.168,-1.808,0.869,0.946,0.911,0.911,1.013,0.984,0.966,-623.500,-0.989,1.174,1.810,0.017,0.094,1.319,0.316,0.603,1.102,3.013,0.810,-2.168,1.199,1.476,1.112,0.558
2010-06-02 11:30:00,0.796,0.893,0.043,0.056,-4.710,-0.613,1.138,-0.160,0.806,1.273,73.926,0.603,0.379,0.515,-1.356,-3.437,0.605,0.438,0.447,0.279,-0.050,1.060,0.755,-0.352,-0.447,2.606,-1.109,-0.864,-0.064,67.081,1.000,2.604,2.709,2.499,2.562,1.049,2.486,0.914,0.849,0.094,2.593,2.593,-1.133,-1.931,0.997,0.888,1.002,1.002,1.013,0.988,0.966,-71.353,-0.979,-3.500,1.722,0.033,0.106,1.320,0.316,0.601,1.102,3.006,1.008,-2.276,1.184,1.464,-0.144,0.487
2010-06-02 12:00:00,0.796,0.893,0.075,0.041,-6.167,-0.602,0.375,-0.170,0.861,0.877,73.848,0.623,0.362,0.515,-1.360,-3.426,0.601,0.436,0.451,0.275,0.013,1.946,0.770,-0.062,0.272,2.601,-0.355,-0.850,-0.086,67.363,1.000,2.589,2.709,2.518,2.590,1.045,2.486,0.908,0.849,0.103,2.593,2.598,-1.099,-2.076,0.822,1.036,1.061,1.061,1.011,0.992,0.966,-43.893,-0.967,-2.926,1.684,0.080,0.095,1.313,0.314,0.512,1.096,2.562,0.744,-1.545,1.174,1.456,-0.011,0.588
2010-06-02 12:30:00,0.796,0.893,0.109,0.056,-8.361,-0.593,0.582,-0.183,0.890,0.705,73.872,0.712,0.347,0.510,-1.363,-3.420,0.598,0.435,0.550,0.332,0.088,1.397,0.850,-0.192,0.179,2.599,-0.184,-0.837,-0.152,67.179,1.000,2.589,2.709,2.532,2.593,1.050,2.486,0.895,0.846,0.111,2.593,2.609,-1.061,-2.288,0.904,0.960,1.094,1.094,1.010,0.995,0.965,33.838,-1.057,-0.864,4.500,0.123,0.048,1.317,0.316,0.556,1.100,2.779,0.821,-1.659,1.167,1.450,-0.014,0.523
2010-06-02 13:00:00,0.796,0.893,0.146,0.076,-10.964,-0.579,0.983,-0.193,0.994,0.768,73.950,0.700,0.328,0.497,-1.366,-3.413,0.596,0.434,0.542,0.306,0.155,-2.333,0.902,1.325,0.014,2.596,-0.543,-0.823,1.031,67.363,1.000,2.587,2.709,2.544,2.589,1.050,2.486,0.897,0.847,0.118,2.593,2.604,-1.030,-2.588,0.931,1.405,1.103,1.103,1.007,0.997,0.965,-141.778,-0.951,-0.735,10.242,0.016,0.019,1.315,0.314,0.554,1.098,2.772,0.873,-1.267,1.163,1.446,0.015,0.348
2010-06-02 13:30:00,0.796,0.893,0.182,0.107,-14.857,-0.564,0.603,-0.204,1.030,0.610,73.913,0.654,0.308,0.500,-1.370,-3.402,0.594,0.434,0.498,0.308,0.223,-3.067,0.862,1.002,-0.255,2.597,-0.844,-0.809,0.427,67.324,1.000,2.587,2.710,2.543,2.587,1.050,2.486,0.895,0.845,0.124,2.593,2.604,-0.988,-2.977,0.857,1.552,1.089,1.089,1.005,0.999,0.964,-26.400,-1.081,0.482,-0.319,-0.162,0.002,1.315,0.316,0.550,1.098,2.752,0.817,-1.400,1.160,1.443,0.919,0.533
2010-06-02 14:00:00,0.796,0.892,0.211,0.148,-22.429,-0.546,0.635,-0.215,1.012,0.587,73.815,0.627,0.291,0.506,-1.373,-3.394,0.593,0.433,0.532,0.288,0.295,-0.468,0.954,1.201,-0.050,2.603,-0.311,-0.797,0.966,66.887,1.000,2.594,2.710,2.542,2.587,1.046,2.486,0.894,0.847,0.129,2.593,2.603,-0.944,-3.647,0.932,1.333,1.053,1.053,1.003,1.002,0.964,28.196,-1.085,-0.121,-0.465,0.086,-0.015,1.322,0.318,0.551,1.104,2.754,0.791,-1.148,1.156,1.439,1.025,0.449
2010-06-02 14:30:00,0.795,0.892,0.236,0.145,-39.125,-0.541,0.745,-0.226,1.038,0.617,73.802,0.681,0.279,0.511,-1.376,-3.387,0.591,0.432,0.563,0.270,0.372,-0.974,0.852,1.418,-0.014,2.606,-0.125,-0.788,0.704,66.829,1.000,2.592,2.710,2.560,2.587,1.042,2.486,0.876,0.851,0.136,2.593,2.606,-0.891,-5.000,0.875,1.453,1.038,1.038,1.001,1.004,0.963,101.091,-0.963,-1.791,4.387,0.220,-0.010,1.323,0.318,0.562,1.104,2.811,0.620,-1.355,1.154,1.435,0.045,0.594
2010-06-02 15:00:00,0.795,0.892,0.259,0.120,-44.429,-0.534,0.989,-0.234,0.935,0.921,73.905,0.598,0.266,0.519,-1.379,-3.379,0.590,0.433,0.446,0.216,0.461,-0.271,0.838,0.162,-0.026,2.606,-0.162,-0.776,0.609,67.111,1.000,2.600,2.710,2.585,2.587,1.040,2.486,0.861,0.850,0.146,2.593,2.606,-0.857,-8.846,0.846,2.291,1.040,1.040,1.000,1.006,0.964,-87.462,-0.835,-0.184,-2.188,0.153,3.333,1.319,0.316,0.572,1.101,2.862,0.767,-0.911,1.153,1.434,1.176,0.567
2010-06-02 15:30:00,0.795,0.892,0.290,-0.135,-27.727,-0.469,1.706,-0.237,0.824,1.262,74.160,0.531,0.249,0.483,-1.383,-3.372,0.591,0.435,0.508,0.254,0.610,0.234,0.914,1.404,-0.272,2.600,-0.705,-0.764,1.714,67.208,1.000,2.606,2.692,2.593,2.593,1.046,2.486,0.857,0.854,0.171,2.604,2.606,-0.755,-52.500,0.899,-83.000,1.394,1.394,1.000,1.007,0.963,21.062,-0.639,-0.832,-47.250,0.029,-1.000,1.322,0.321,0.664,1.103,3.319,0.862,-0.512,1.156,1.435,0.510,0.542
2010-06-03 09:30:00,0.795,0.892,0.295,-0.608,-21.643,-0.427,1.691,-0.233,0.869,1.286,74.370,0.464,0.248,0.527,-1.384,-3.368,0.591,0.435,0.263,0.201,0.615,0.433,1.052,1.323,-0.514,2.603,-0.647,-0.758,1.234,67.655,1.000,2.596,2.663,2.596,2.596,1.046,2.486,0.858,0.852,0.184,2.606,2.606,-0.746,-inf,0.995,0.346,1.584,1.584,1.000,1.008,0.964,-16.927,-0.521,0.629,1.218,1.395,3.000,1.317,0.320,0.939,1.099,4.695,0.977,0.025,1.158,1.436,3.093,0.596
2010-06-03 10:00:00,0.795,0.892,0.302,1.384,-13.409,-0.347,1.253,-0.225,1.074,1.163,74.856,0.495,0.250,0.642,-1.387,-3.364,0.591,0.438,0.240,0.170,0.614,0.453,1.248,1.160,-0.398,2.606,-0.744,-0.747,1.139,68.199,1.000,2.592,2.655,2.592,2.592,1.050,2.494,0.866,0.856,0.215,2.606,2.606,-0.703,-101.000,1.083,0.480,1.859,1.859,1.001,1.009,0.963,-856.000,-0.698,0.064,3.707,1.032,3.042,1.315,0.316,1.041,1.098,5.204,1.054,0.271,1.164,1.438,2.788,0.708
2010-06-03 10:30:00,0.795,0.892,0.310,0.717,-10.556,-0.266,1.101,-0.218,1.000,1.148,74.712,0.517,0.251,0.621,-1.390,-3.355,0.592,0.440,0.325,0.213,0.616,0.423,1.434,1.487,-0.221,2.601,-0.533,-0.736,1.010,68.102,1.000,2.589,2.649,2.589,2.589,1.052,2.494,0.857,0.856,0.241,2.606,2.606,-0.641,-33.333,1.201,0.413,1.918,1.918,1.001,1.008,0.963,81.000,-0.604,0.005,-5.940,0.839,1.504,1.314,0.316,0.896,1.097,4.478,1.177,0.242,1.171,1.440,0.744,0.662
2010-06-03 11:00:00,0.795,0.892,0.319,0.704,-9.448,-0.196,1.027,-0.209,1.055,1.195,74.831,0.538,0.253,0.599,-1.393,-3.346,0.592,0.443,0.339,0.217,0.616,0.402,1.611,0.866,-0.354,2.598,-0.663,-0.725,0.851,68.121,1.000,2.589,2.649,2.589,2.589,1.058,2.494,0.856,0.862,0.269,2.606,2.606,-0.573,-12.250,1.326,0.512,1.934,1.934,1.000,1.009,0.962,667.000,-0.644,0.466,6.973,0.822,1.094,1.316,0.316,0.974,1.099,4.868,1.369,0.339,1.176,1.441,0.895,0.457
2010-06-03 11:30:00,0.795,0.892,0.337,0.793,-8.419,-0.130,1.829,-0.204,1.143,1.222,75.045,0.608,0.256,0.599,-1.397,-3.336,0.593,0.448,0.507,0.305,0.642,0.428,1.634,-4.287,-0.561,2.598,-1.025,-0.713,-7.226,68.238,1.000,2.597,2.644,2.595,2.595,1.057,2.501,0.852,0.866,0.302,2.606,2.603,-0.498,-7.000,1.546,0.536,1.911,1.911,1.000,1.008,0.963,-14.632,-0.758,-0.335,4.222,0.950,0.983,1.317,0.316,1.064,1.100,5.318,1.700,0.433,1.184,1.444,-0.603,0.591
2010-06-03 12:00:00,0.795,0.891,0.360,0.902,-7.485,-0.071,1.105,-0.199,1.210,1.061,75.041,0.639,0.261,0.587,-1.399,-3.326,0.593,0.452,0.538,0.348,0.638,0.555,1.670,-0.219,-0.768,2.593,-1.338,-0.701,-0.548,68.218,1.000,2.590,2.643,2.590,2.590,1.055,2.501,0.842,0.864,0.340,2.606,2.606,-0.417,-4.455,1.502,0.608,1.877,1.877,1.000,1.009,0.962,-16.889,-0.851,-0.286,4.232,0.920,0.929,1.318,0.316,0.992,1.100,4.958,1.525,0.516,1.191,1.446,-0.471,0.620
2010-06-03 12:30:00,0.795,0.891,0.389,1.333,-6.853,-0.023,1.164,-0.193,1.301,1.093,75.313,0.740,0.268,0.574,-1.402,-3.315,0.596,0.459,0.699,0.470,0.634,0.690,2.638,-0.191,-0.730,2.617,-1.342,-0.692,-0.136,67.723,1.000,2.605,2.619,2.605,2.605,1.055,2.516,0.853,0.867,0.390,2.606,2.602,-0.336,-3.267,2.751,0.846,1.889,1.889,1.000,1.010,0.962,185.333,-0.819,-0.130,-6.575,1.365,0.982,1.332,0.323,1.107,1.112,5.535,2.725,0.650,1.204,1.451,-0.403,0.675
2010-06-03 13:00:00,0.795,0.892,0.425,2.483,-6.875,0.020,1.605,-0.188,1.354,1.111,75.259,0.729,0.275,0.605,-1.405,-3.303,0.598,0.465,0.664,0.449,0.636,0.918,3.612,0.023,-0.662,2.617,-1.182,-0.684,-0.005,67.645,1.000,2.618,2.614,2.605,2.605,1.052,2.516,0.873,0.871,0.444,2.606,2.607,-0.254,-2.282,3.879,0.788,1.909,1.909,1.001,1.011,0.962,13.458,-0.691,-0.103,-3.935,3.527,1.075,1.333,0.325,1.159,1.113,5.794,3.401,0.611,1.218,1.457,-0.308,0.604
2010-06-03 13:30:00,0.795,0.891,0.467,4.234,-7.704,0.059,1.085,-0.181,1.367,1.203,74.979,0.681,0.281,0.601,-1.408,-3.291,0.600,0.469,0.557,0.476,0.653,0.793,5.861,1.518,-0.702,2.638,-0.949,-0.678,1.335,67.140,1.000,2.624,2.614,2.605,2.605,1.054,2.516,0.855,0.869,0.498,2.606,2.627,-0.177,-1.826,6.204,0.874,1.927,1.927,1.002,1.012,0.962,8.944,-0.803,0.957,-0.319,-30.556,1.438,1.338,0.321,1.120,1.117,5.600,4.510,0.562,1.233,1.464,3.722,0.491
2010-06-03 14:00:00,0.795,0.891,0.516,62.500,-8.909,0.093,0.842,-0.176,1.406,1.089,74.461,0.640,0.287,0.593,-1.411,-3.279,0.602,0.472,0.563,0.362,0.720,0.743,-738.000,1.010,-0.214,2.657,-0.336,-0.674,1.081,66.187,1.000,2.623,2.614,2.605,2.605,1.053,2.516,0.839,0.870,0.558,2.631,2.657,-0.106,-1.673,-8.649,1.131,1.983,1.983,1.004,1.013,0.963,4.022,-1.017,0.431,-0.354,-0.726,2.973,1.348,0.326,1.099,1.125,5.494,273.000,0.502,1.246,1.468,8.788,0.627
2010-06-03 14:30:00,0.795,0.891,0.570,-0.711,-19.000,0.113,1.023,-0.179,1.442,1.032,73.761,0.659,0.288,0.695,-1.414,-3.271,0.602,0.470,0.519,0.296,0.712,0.839,-2.160,1.018,0.232,2.679,0.082,-0.675,0.885,64.856,1.000,2.638,2.668,2.605,2.605,1.057,2.516,0.850,0.877,0.612,2.679,2.679,-0.075,-1.660,-1.047,-3.875,2.158,2.158,1.006,1.014,0.963,3.217,-1.373,-2.360,18.357,0.202,-0.975,1.363,0.328,1.141,1.137,5.705,-0.767,0.165,1.249,1.468,10.700,0.621
2010-06-03 15:00:00,0.795,0.891,0.648,0.123,20.889,0.127,1.117,-0.191,1.440,1.083,73.012,0.585,0.293,0.735,-1.417,-3.262,0.601,0.466,0.413,0.356,0.463,0.474,-0.787,1.371,0.750,2.675,0.481,-0.680,1.536,64.700,1.000,2.664,2.675,2.605,2.618,1.058,2.516,0.878,0.884,0.680,2.675,2.675,-0.107,-1.824,-0.276,-0.000,2.317,2.317,1.009,1.016,0.964,3.116,-1.756,-0.389,-2.039,0.439,0.023,1.352,0.328,1.172,1.128,5.858,0.393,-0.356,1.253,1.467,2.476,0.768
2010-06-03 15:30:00,0.795,0.890,0.779,0.302,6.786,0.131,1.029,-0.209,1.346,1.020,72.596,0.529,0.306,0.740,-1.420,-3.254,0.600,0.464,0.511,0.527,-0.226,0.244,0.137,-8.693,0.583,2.660,0.486,-0.690,86.562,64.467,1.000,2.675,2.660,2.605,2.624,1.060,2.516,0.917,0.886,0.761,2.660,2.660,-0.139,-1.882,0.157,-4.611,2.369,2.369,1.010,1.017,0.964,3.207,-1.925,-1.378,-18.545,0.547,0.310,1.350,0.324,1.152,1.126,5.758,0.909,-0.614,1.262,1.469,3.364,0.788
2010-06-04 09:30:00,0.795,0.890,0.864,0.406,4.949,0.125,0.865,-0.223,1.342,1.003,72.341,0.467,0.318,0.742,-1.421,-3.251,0.600,0.466,0.320,0.370,-0.256,-0.167,0.339,2.253,0.880,2.663,0.778,-0.697,2.005,64.146,1.000,2.666,2.663,2.605,2.623,1.061,2.516,0.917,0.887,0.802,2.663,2.663,-0.140,-1.774,0.281,1.806,2.315,2.315,1.010,1.017,0.964,3.125,-2.202,0.038,1.301,0.611,0.397,1.351,0.326,1.170,1.128,5.848,1.007,-1.196,1.269,1.471,-0.159,0.728
2010-06-04 10:00:00,0.795,0.890,1.219,0.544,3.254,0.102,1.236,-0.250,1.393,1.025,71.971,0.511,0.350,0.750,-1.424,-3.248,0.598,0.469,0.386,0.443,-0.419,-2.364,0.440,9.797,0.940,2.658,0.984,-0.711,4.077,64.030,1.000,2.662,2.658,2.605,2.625,1.067,2.516,0.933,0.897,0.958,2.658,2.658,-0.143,-1.759,0.391,1.421,2.189,2.189,1.011,1.019,0.965,3.508,-2.177,-0.184,5.121,0.692,0.506,1.347,0.326,1.662,1.124,8.310,1.219,-2.038,1.283,1.475,-0.108,0.781
2010-06-04 10:30:00,0.796,0.890,5.528,0.539,2.407,0.071,0.917,-0.277,1.380,0.960,71.888,0.508,0.375,0.748,-1.427,-3.248,0.595,0.470,0.394,0.388,-0.770,0.934,0.454,-0.049,0.925,2.699,0.853,-0.728,0.122,63.097,1.000,2.663,2.699,2.605,2.652,1.063,2.516,0.918,0.896,2.047,2.699,2.699,-0.148,-1.727,0.410,0.685,2.154,2.154,1.011,1.022,0.966,2.805,-1.997,-0.263,-5.414,0.663,0.577,1.366,0.331,1.117,1.139,5.587,1.149,-6.729,1.292,1.477,1.621,0.909
2010-06-04 11:00:00,0.796,0.890,-0.637,0.522,2.000,0.033,0.793,-0.304,1.395,0.949,71.633,0.537,0.401,0.747,-1.430,-3.250,0.593,0.472,0.422,0.427,-1.651,1.706,0.485,-0.860,0.936,2.698,0.918,-0.748,-0.554,62.999,1.000,2.676,2.698,2.605,2.653,1.068,2.516,0.922,0.904,-0.709,2.698,2.698,-0.161,-1.778,0.444,0.855,2.102,2.102,1.010,1.025,0.967,3.527,-2.133,-2.042,1.653,0.623,0.629,1.363,0.331,1.244,1.137,6.218,1.191,-4.440,1.303,1.479,1.527,0.841
2010-06-04 11:30:00,0.796,0.891,0.003,0.550,1.771,-0.012,1.315,-0.333,1.396,0.963,71.695,0.596,0.419,0.718,-1.433,-3.256,0.591,0.475,0.527,0.469,-4.545,0.553,0.481,0.452,0.784,2.698,0.932,-0.770,0.406,63.135,1.000,2.686,2.698,2.605,2.666,1.071,2.516,0.910,0.909,0.075,2.698,2.698,-0.179,-1.830,0.486,0.570,2.048,2.048,1.008,1.026,0.967,3.418,-2.001,-5.917,4.365,0.654,0.682,1.361,0.331,1.266,1.136,6.330,1.262,-10.902,1.314,1.481,3.000,0.560
2010-06-04 12:00:00,0.795,0.891,0.188,0.570,1.612,-0.073,1.209,-0.359,1.470,1.007,71.769,0.620,0.436,0.710,-1.437,-3.267,0.590,0.479,0.550,0.551,inf,0.457,0.470,0.759,0.786,2.689,0.854,-0.791,0.705,63.281,1.000,2.684,2.698,2.618,2.662,1.071,2.516,0.897,0.914,0.257,2.698,2.698,-0.201,-1.849,0.487,0.526,2.001,2.001,1.007,1.028,0.967,3.398,-1.997,-4.857,4.457,0.709,0.725,1.359,0.330,1.292,1.134,6.461,1.290,-8.449,1.325,1.485,3.184,0.663
2010-06-04 12:30:00,0.796,0.891,0.283,0.612,1.495,-0.150,1.167,-0.384,1.432,1.068,71.592,0.711,0.457,0.652,-1.441,-3.279,0.591,0.485,0.659,0.659,7.000,0.052,0.484,1.530,0.711,2.696,0.888,-0.814,1.358,62.766,1.000,2.680,2.698,2.624,2.663,1.071,2.516,0.894,0.916,0.356,2.698,2.698,-0.227,-1.887,0.518,0.371,1.929,1.929,1.007,1.030,0.968,3.228,-2.286,-0.552,-6.667,0.708,0.713,1.367,0.328,1.283,1.141,6.413,1.294,-72.800,1.338,1.488,3.523,0.691
2010-06-04 13:00:00,0.796,0.891,0.348,0.646,1.414,-0.259,0.859,-0.420,1.382,0.921,71.625,0.702,0.474,0.651,-1.444,-3.294,0.592,0.491,0.644,0.681,4.173,0.059,0.444,2.140,0.760,2.696,0.889,-0.839,2.220,62.766,1.000,2.684,2.697,2.623,2.676,1.071,2.516,0.902,0.919,0.414,2.697,2.697,-0.258,-1.943,0.480,0.355,1.874,1.874,1.007,1.031,0.968,3.123,-2.423,-0.443,-4.279,0.647,0.675,1.368,0.333,1.257,1.141,6.284,1.182,45.625,1.349,1.493,4.401,0.730
2010-06-04 13:30:00,0.796,0.891,0.388,0.654,1.371,-0.395,0.682,-0.457,1.370,1.088,71.769,0.687,0.488,0.644,-1.448,-3.311,0.593,0.496,0.606,0.792,3.094,-0.271,0.414,0.874,0.776,2.695,0.919,-0.866,0.822,63.223,1.000,2.683,2.697,2.638,2.684,1.077,2.516,0.906,0.918,0.452,2.697,2.697,-0.297,-2.208,0.453,0.298,1.826,1.826,1.005,1.033,0.969,4.239,-2.195,1.705,-58.000,0.612,0.679,1.361,0.331,1.204,1.135,6.018,1.187,-6.000,1.361,1.497,0.730,0.685
2010-06-04 14:00:00,0.797,0.892,0.419,0.705,1.368,-0.612,0.943,-0.488,1.428,1.009,71.641,0.665,0.502,0.631,-1.452,-3.333,0.596,0.503,0.683,0.841,2.600,0.175,0.417,0.636,0.886,2.696,1.010,-0.892,0.756,63.106,1.000,2.680,2.697,2.664,2.684,1.088,2.516,0.896,0.933,0.486,2.697,2.696,-0.349,-2.816,0.485,0.333,1.768,1.768,1.003,1.033,0.970,4.227,-2.162,0.605,-26.500,0.666,0.679,1.361,0.331,1.246,1.135,6.231,1.227,4.478,1.374,1.502,0.570,0.488
2010-06-04 14:30:00,0.797,0.892,0.436,0.792,1.385,-0.868,1.169,-0.508,1.389,0.955,71.728,0.684,0.511,0.576,-1.456,-3.355,0.597,0.507,0.637,0.967,2.288,0.017,0.398,0.904,0.952,2.686,1.034,-0.920,0.974,63.291,1.000,2.681,2.697,2.675,2.681,1.087,2.516,0.905,0.946,0.507,2.697,2.696,-0.420,-3.724,0.436,0.270,1.722,1.722,1.002,1.033,0.971,4.182,-2.007,3.868,2.606,1.079,0.657,1.358,0.330,1.230,1.133,6.149,1.120,4.645,1.383,1.506,2.053,0.673
